ETC_20150317_000001	Kepa	케파
ETC_20160718_022145	ใช้สิทธิประโยชน์จากโทเคนกับตัวละครทั้งหมดของคุณในเซิฟเวอร์นี้นาน 3 ชั่วโมง คลิกขวาเพื่อใช้งาน{nl}[สิทธิประโยชน์จากโทเคน]{nl} - สามารถเรียนรู้แอตทริบิวต์ได้ทันที{nl} - ลดค่าธรรมเนียมซื้อขายลง (30% {img white_right_arrow 16 16} 10%){nl} - วางขายได้สูงสุด 10 ไอเทมในตลาด{nl} - ความเร็วการเคลื่อนไหวของตัวละคร +3{nl} - +20% EXP ที่ได้จากการล่ามอนสเตอร์{nl}(ได้รับ EXP Tome effect จำนวนมาก) - เพิ่มจำนวน Buff สูงสุด{nl} - สามารถใช้ Premium Gestures ได้	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 3시간동안 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 10개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +20% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 최대 버프 적용 개수 증가{nl} - 프리미엄 제스쳐 사용 가능
ETC_20160718_022146	ใช้สิทธิประโยชน์จากโทเคนกับตัวละครทั้งหมดของคุณในเซิฟเวอร์นี้นาน 6 ชั่วโมง คลิกขวาเพื่อใช้งาน{nl}[สิทธิประโยชน์จากโทเคน]{nl} - สามารถเรียนรู้แอตทริบิวต์ได้ทันที{nl} - ลดค่าธรรมเนียมซื้อขายลง (30% {img white_right_arrow 16 16} 10%){nl} - วางขายได้สูงสุด 10 ไอเทมในตลาด{nl} - ความเร็วการเคลื่อนไหวของตัวละคร +3{nl} - +20% EXP ที่ได้จากการล่ามอนสเตอร์{nl}(ได้รับ EXP Tome effect จำนวนมาก) - เพิ่มจำนวน Buff สูงสุด{nl} - สามารถใช้ Premium Gestures ได้	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 6시간동안 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 10개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +20% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 최대 버프 적용 개수 증가{nl} - 프리미엄 제스쳐 사용 가능
ETC_20160718_022147	ใช้สิทธิประโยชน์จากโทเคนกับตัวละครทั้งหมดของคุณในเซิฟเวอร์นี้นาน 12 ชั่วโมง คลิกขวาเพื่อใช้{nl}[สิทธิประโยชน์จากโทเคน]{nl} - สามารถเรียนรู้ Attribute ได้ทันที{nl} - ค่าธรรมเนียมการซื้อขายลดลงจาก (30% {img white_right_arrow 16 16} 10%){nl} - วางขายไอเทมในตลาดได้ 10 ชิ้น{nl} - movement ของตัวละครเพิ่มขึ้น +3{nl} - EXP ที่ได้จากการล่ามอนสเตอร์ +20%{nl}(เพิ่มเติมจากผลของ EXP Tome)- เพิ่มจำนวน Buff สูงสุด{nl}  - สามารถใช้ท่าทางพิเศษได้	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 12시간동안 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 10개{nl} - 캐릭터 이동속도 +3 증가{nl} - 경험치 20% 증가{nl} - 최대 버프 적용 개수 증가{nl}- 프리미엄 제스쳐 사용 가능
ETC_20160718_022148	ใช้สิทธิประโยชน์จากโทเคนกับตัวละครทั้งหมดของคุณในเซิฟเวอร์นี้นาน 3 วัน คลิกขวาเพื่อใช้งาน{nl}[สิทธิประโยชน์จากโทเคน]{nl} - สามารถเรียนรู้แอตทริบิวต์ได้ทันที{nl} - ลดค่าธรรมเนียมซื้อขายลง (30% {img white_right_arrow 16 16} 10%){nl} - วางขายได้สูงสุด 10 ไอเทมในตลาด{nl} - ความเร็วการเคลื่อนไหวของตัวละคร +3{nl} - +20% EXP ที่ได้จากการล่ามอนสเตอร์{nl}(ได้รับ EXP Tome effect จำนวนมาก) - เพิ่มจำนวน Buff สูงสุด{nl} - สามารถใช้ Premium Gestures ได้	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 3일간 혜택이 적용됩니다. 캐릭터 정보창에서 잔여시간을 확인하실 수 있습니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 10개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +20% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 최대 버프 적용 개수 증가{nl} - 프리미엄 제스쳐 사용 가능
ETC_20160718_022149	ใช้สิทธิประโยชน์จากโทเคนกับตัวละครทั้งหมดของคุณในเซิฟเวอร์นี้นาน 30 วัน คลิกขวาเพื่อใช้งาน{nl}[สิทธิประโยชน์จากโทเคน]{nl} - สามารถเรียนรู้แอตทริบิวต์ได้ทันที{nl} - ลดค่าธรรมเนียมซื้อขายลง (30% {img white_right_arrow 16 16} 10%){nl} - วางขายได้สูงสุด 10 ไอเทมในตลาด{nl} - ความเร็วการเคลื่อนไหวของตัวละคร +3{nl} - +20% EXP ที่ได้จากการล่ามอนสเตอร์{nl}(ได้รับ EXP Tome effect จำนวนมาก) - เพิ่มจำนวน Buff สูงสุด{nl} - สามารถใช้ Premium Gestures ได้{nl} - มีสิทธิ์ลงดันเจี้ยนหรือรับภารกิจได้มากกว่าผู้เล่นปกติทันที 1 ครั้ง{nl} - สามารถใช้งานการแลกเปลี่ยนส่วนตัวได้ถึง 30 ครั้ง	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 30일간 혜택이 적용됩니다. 캐릭터 정보창에서 잔여시간을 확인하실 수 있습니다. 캐릭터 정보창에서 잔여시간을 확인하실 수 있습니다..{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 10개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +20% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 최대 버프 적용 개수 증가{nl} - 프리미엄 제스쳐 사용 가능{nl} - 개인 거래 30회 가능
ETC_20160718_022150	ใช้สิทธิประโยชน์จากโทเคนกับตัวละครทั้งหมดของคุณในเซิฟเวอร์นี้นาน 15 วัน คลิกขวาเพื่อใช้งาน{nl}[สิทธิประโยชน์จากโทเคน]{nl} - สามารถเรียนรู้แอตทริบิวต์ได้ทันที{nl} - ลดค่าธรรมเนียมซื้อขายลง (30% {img white_right_arrow 16 16} 10%){nl} - วางขายได้สูงสุด 10 ไอเทมในตลาด{nl} - ความเร็วการเคลื่อนไหวของตัวละคร +3{nl} - +20% EXP ที่ได้จากการล่ามอนสเตอร์{nl}(ได้รับ EXP Tome effect จำนวนมาก) - เพิ่มจำนวน Buff สูงสุด{nl} - สามารถใช้ Premium Gestures ได้	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 15일간 혜택이 적용됩니다. 캐릭터 정보창에서 잔여시간을 확인하실 수 있습니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 10개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +20% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 최대 버프 적용 개수 증가{nl} - 프리미엄 제스쳐 사용 가능
ETC_20160718_022151	Zemyna Necklace Box	제미나 목걸이 상자
ETC_20160718_022152	กล่องที่มีไอเทม Zemyna Necklace อยู่ด้านใน คลิกขวาเพื่อเปิด{nl}ไอเทมนี้จะถูกนำออกไปทั้งหมดในวันที่ 30 มิถุนายน	제미나 목걸이가 들어있는 상자입니다. 마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다. {nl} 해당 아이템은 6월 30일에 일괄삭제됩니다.
ETC_20160718_022153	Badoca Hill	바도카 언덕
ETC_20160718_022154	Niuruu Wildlands	니우루 황야
ETC_20160718_022155	Ibre Plateau Base	이브레 고원 기지
ETC_20160718_022156	Dalgan Ridge	달간 기슭
ETC_20160718_022157	Ontra Cliffs	온트라 벼랑
ETC_20160718_022158	Valaska Hillside	발라스카 고지대
ETC_20160718_022159	Uzsaldi Plateau	우즈살디 고원
ETC_20160718_022160	Gado Way	고단 가도
ETC_20160718_022161	Barga Base	바르가 기지
ETC_20160718_022162	Jaudenti Clearing	자우딘티 공터
ETC_20160718_022163	Illceti Camp	일세티 캠프
ETC_20160718_022164	Stairway Knoll	계단 구릉
ETC_20160718_022165	ทางเข้า Veda Plateau	베다 고원 진입로
ETC_20160718_022166	Lezsa Hill	레사 언덕
ETC_20160718_022167	Prascill Fields	프라실 벌판
ETC_20160718_022168	Sticla Village	스티클라 마을
ETC_20160718_022169	Dvejoti Cliff	드베요티 절벽
ETC_20160718_022170	Verde Ridge	베르데 기슭
ETC_20160718_022171	ทางเข้า Kadumel Cliff	카듀멜 절벽 어귀
ETC_20160718_022172	Kalna Crossroads	칼나 사거리
ETC_20160718_022173	Dalvin Assembly Point	달빈 집결지
ETC_20160718_022174	Path to the Earth Fortress	대지의 요새 방향
ETC_20160718_022175	Sniye Supply Route	스니에 보급로
ETC_20160718_022176	Fallen Base	무너진 기지
ETC_20160718_022177	Norse Fault Lower Level	노르스 단층지 하층
ETC_20160718_022178	Norse Fault Upper Level	노르스 단층지 상층
ETC_20160718_022179	Lempa Clearing	렘파 공터
ETC_20160718_022180	Jasada Detour	자사다 우회로
ETC_20160718_022181	Lezhai Cliffs	레자이 낭떠러지
ETC_20160718_022182	Zvaghas Stone	즈바가스 돌무지
ETC_20160718_022183	Linguotti Shore	링구오티 기슭
ETC_20160718_022184	Smekla Base	스메클라 기지
ETC_20160718_022185	Ahsara Mountaintop	아사라 봉우리
ETC_20160718_022186	Ghrezmei Passage	그레즈메 통로
ETC_20160718_022187	Lamdyti Workshop	람디티 작업장
ETC_20160718_022188	Kalleimhas Gates	칼레이마스 관문
ETC_20160718_022189	Dievdirbys Male2	딥디르비 남2
ETC_20160718_022190	Dievdirbys Male3	딥디르비 남3
ETC_20160718_022191	Evoniphon	에보니폰
ETC_20160718_022192	Wizard Tulis	위저드 튤러스
ETC_20160718_022193	Cursed Statue	저주 받은 조각상
ETC_20160718_022194	Telepathy Device	텔레파시 장치
ETC_20160718_022195	Observation Orb	감시구
ETC_20160718_022196	รวบรวม dried Dadania Leaves	마른 다다니아 잎사귀 채집
ETC_20160718_022197	Depth of Devotion	신앙의 깊이
ETC_20160718_022198	รวบรวม Hidden Farming Equipment	숨겨둔 농사 도구 수집
ETC_20160718_022199	คุ้มครอง Asel ไปที่รูปสลัก Sleeping Owl ซึ่งตั้งอยู่ที่ Zaliavin Valley	아젤을 잘리아빈 계곡의 잠든 부엉이 조각상까지 호위
ETC_20160718_022200	วาง Protective Crystal ใกล้กับ รูปสลัก Sleeping Owl ที่ Zaliavin Valley	잘리아빈 계곡의 잠든 부엉이 조각상 주변에 보호의 수정 놓기
ETC_20160718_022201	วาง Protective Crystal ใกล้กับ รูปสลัก Sleeping Owl ที่ Miglos Hill	미글랑 언덕의 잠든 부엉이 조각상 주변에 보호의 수정 놓기
ETC_20160718_022202	ชำระล้างพื้นที่ใกล้เคียงกับ Owl Sculpture	부엉이상 인근 정화
ETC_20160718_022203	เติมพลังชีวิตจากมอนสเตอร์เข้าสู่ Orb ที่ส่งแสงสลัวๆ	희미하게 빛나는 구슬에 몬스터의 생명력 충전
ETC_20160718_022204	เด็กฝึกหัดที่โผล่ออกมาจากรูปสลักมอนสเตอร์	몬스터 조각에 심취한
ETC_20160718_022205	เติมพลังชีวิตของมอนสเตอร์เข้าสู่ Orb	몬스터의 생명력을 구슬에 충전
ETC_20160718_022206	ถาม Daroul เรื่อง Loremaster	다룰에게 전승자에 관한 이야기 듣기
ETC_20160718_022207	ถาม Daroul เรื่องเทพี Jurate	다룰에게 유라테 여신에 관한 이야기 듣기
ETC_20160718_022208	ถาม Daroul ว่าเขามาที่นี่ทำไม	다룰에게 이곳에 온 이유에 대해 이야기 듣기
ETC_20160718_022209	ฝังถุงไว้ใกล้ๆกับ Kranta Skerries	크란타 암초군에 주머니 묻기
ETC_20160718_022210	ฝังถุงไว้ใกล้ๆกับ the Old Bridge	삭은 다리에 주머니 묻기
ETC_20160718_022211	กำจัดมอนสเตอร์ที่ถูกล่อออกมา	유인한 몬스터 처치
ETC_20160718_022212	ถ่ายเทพลังชีวิตจากมอนเตอร์ลงในจี้ห้อยคอของ Daroul	다룰의 펜던트에 몬스터의 기운 불어넣기
ETC_20160718_022213	รวบรวม Blue Stones จาก Sniega Sentry	스니에가 보초에서 푸른 빛이 나는 돌 수집
ETC_20160718_022214	วาง Blue Stones ไว้บนถนนที่มุ่งหน้าสู่ Polybba Marshlands	폴립파 침수지 가는 길에 푸른 빛이 나는 돌 놓기
ETC_20160718_022215	วาง Blue Stones ไว้ที่ Polybba Marshlands	폴립파 침수지에 푸른 빛이 나는 돌 놓기
ETC_20160718_022216	วาง Blue Stones ไว้ที่ทางเข้า Sahguma Lagoon	사구마 석호 입구에 푸른 빛이 나는 돌 놓기
ETC_20160718_022217	วาง Blue Stones ไว้ที่ Sahguma Lagoon	사구마 석호 안쪽에 푸른 빛이 나는 돌 놓기
ETC_20160718_022218	รักษาคนเหมืองที่บาดเจ็บ	다친 광산 인부 치료
ETC_20160718_022219	ค้นหา Dimension Ore บน Lezsa Hill ด้วย Detector	레사 언덕에서 탐지기로 차원석 광석 수색
ETC_20160718_022220	Wizard Tulis' Mineral Research(1)	위저드 튤러스의 광석 조사(1)
ETC_20160718_022221	เก็บน้ำมันจากมอนเตอร์ที่โดยใช้ specially crafted scroll	특제 스크롤로 변환된 몬스터의 정수 수집
ETC_20160718_022222	รับ Orb of Detection and Absorbtion จาก Village Priest	마을 사제 아른타스에게 탐지 구슬과 흡수의 보주 받기
ETC_20160718_022223	ค้นหาพลังศักดิ์สิทธิ์โดใช้ Orb of Detection และดูดพลังไว้ด้วย Orb of Absorbtion	탐지의 구슬로 신성력을 찾아 흡수의 보주에 흡수
ETC_20160718_022224	รวบรวม Syclienne Grass จากทางเข้า Kadumel Cliff	카듀멜 절벽 어귀에서 시클리엔 풀 채집
ETC_20160718_022225	เติม Purification Orb ด้วยพลังศักดิ์สิทธิ์	정화의 구에 신성력 채우기
ETC_20160718_022226	ปิดอุปกรณ์เวทมนตร์ทั้งหมด	마법장치 전부 끄기
ETC_20160718_022227	กำจัดพลังงานชั่วร้ายที่เข้มข้นออกจากบริเวณรอบแท่นบูชา	제단 주변에 있는 사악한 기운 덩어리 제거
ETC_20160718_022228	ระเบิดอุปกรณ์เวทมนตร์น่าสงสัย	폭탄으로 수상한 마법 장치 파괴
ETC_20160718_022229	กำจัดทหารที่กำลังเข้ามา	공격해 오는 병사들 제압하기
ETC_20160718_022230	ตรวจสอบเวลาของอีเวนต์ที่ 2 ของพื้นที่ส่วนขยาย	확장구역 이벤트2 시간 체크
ETC_20160718_022231	ตรวจสอบจำนวนเงินที่บริจาคให้กับอีเวนต์ Ruklys Hall	루클리스 전당 이벤트 기여도 체크
ETC_20160718_022232	ตรวจสอบจำนวนเงินที่บริจาคให้กับอีเวนต์ Refugee Residential District	피난 거주구 이벤트 기여도 체크
ETC_20160718_022233	Flashmob Event	플래시몹 이벤트
ETC_20160718_022234	Flashmob Event NPC	플래시몹 이벤트 NPC
ETC_20160718_022235	ตั้งเวลารีเซ็ตการยกเลิกสกิล, หน่วยเวลา : ms (test)	컴패니언의 최대 레벨
ETC_20160718_022236	เลเวล Companionสูงสุด	컴패니언 경험치율
ETC_20160718_022237	อัตราการรับ EXP ของ Companion	1이면 사용
ETC_20160718_022238	ออกจากระบบบันทึกการเข้าสู่ระบบที่ INFO บนเซิร์ฟเวอร์ barrack	로그인 관련 로그를 배럭서버에 INFO로 남깁니다.
ETC_20160718_022239	ตรวจสอบค่าเพื่อระบุเวลาเริ่มอีเวนต์	타임 이벤트를 실행할 것인가 체크 값
ETC_20160718_022240	ช่วยด้วย!	도와주게!
ETC_20160718_022241	วัสดุสิ้นเปลือง/จิปาถะ	소모품 /잡화
ETC_20160718_022242	Premium Pet	프리미엄 펫
ETC_20160718_022243	เพศชาย - Warrior	남-전사
ETC_20160718_022244	เพศชาย - Wizard	남-마법사
ETC_20160718_022245	เพศชาย - Archer	남-궁수
ETC_20160718_022246	เพศชาย - Cleric	남-성직자
ETC_20160718_022247	เพศชาย - Common	남-공용
ETC_20160718_022248	เพศหญิง - Warrior	여-전사
ETC_20160718_022249	เพศหญิง - Wizard	여-마법사
ETC_20160718_022250	เพศหญิง - Archer	여-궁수
ETC_20160718_022251	เพศหญิง - Cleric	여-성직자
ETC_20160718_022252	เพศหญิง - Common	여-공용
ETC_20160718_022253	ทรงผมเพศชาย	남성 헤어
ETC_20160718_022254	ทรงผมเพศหญิง	여성 헤어
ETC_20160718_022255	ทรงผมพิเศษสำหรับผู้ชาย	프리미엄남성 헤어
ETC_20160718_022256	ทรงผมพิเศษสำหรับผู้หญิง	프리미엄여성 헤어
ETC_20160718_022257	เลนส์สี	컬러 렌즈
ETC_20160718_022258	เครื่องประดับผม	헤어 악세
ETC_20160718_022259	สีย้อม	염색약
ETC_20160718_022260	กองวัสดุสิ้นเปลือง/จิปาถะ	소모품 /잡화 더미
ETC_20160718_022261	กองของเครื่องแต่งกาย	코스튬 더미
ETC_20160718_022262	กองเครื่องสำอาง	꾸미기 더미
ETC_20160718_022263	Recipe - Futere Scimitar	제작서-퓨테레 시미터
ETC_20160718_022264	Recipe - Eki Lumai Two-handed Sword	제작서-에키 루마이 투 핸드 소드
ETC_20160718_022265	Recipe - Duris Battle Rod	제작서-듀리스 배틀 로드
ETC_20160718_022266	Recipe - Ice Evil Staff	제작서-아이스 이블 스태프
ETC_20160718_022267	Recipe - Magi Kaman	제작서-마기 카만
ETC_20160718_022268	Recipe - Adata Cranequin	제작서-아다타 크래인퀸
ETC_20160718_022269	Recipe - Artie Battle Hammer	제작서-아티 배틀 해머
ETC_20160718_022270	Recipe - Artie Hasta	제작서-아티 아스타
ETC_20160718_022271	Recipe - Holy Partisan	제작서-홀리 파르티잔
ETC_20160718_022272	Recipe - Artie Dual Rapier	제작서-아티 듀얼 레이피어
ETC_20160718_022273	Recipe - Eki Musket	제작서-에키 머스킷
ETC_20160718_022274	ตัวละครจะไม่สามารถวิ่งได้และจะเดินเมื่อ STA เหลือ 0	STA 가 0이 되면 캐릭터가 달리지 못하고 걷게 됩니다. 
ETC_20160718_022275	การใช้โทเคนจะเพิ่มค่า EXP ที่ได้จากมอนสเตอร์ 30%	토큰을 사용하면 몬스터에게서 얻는 경험치가 20% 증가됩니다.
ETC_20160718_022276	ไอเทมที่ซื้อขายระหว่างตัวละครที่มีค่า personal trade เหลือมากกว่า 1 จะไม่สามารถซื้อขายได้อีก	사용 중인 토큰의 거래 가능 횟수가 1 이상 남아있는 캐릭터 간의 1:1 거래에서는 장비 아이템이 거래 불가로 변경되지 않습니다.
ETC_20160718_022277	คุณสามารถใช้ตัวเลือกในเมนูการตั้งค่าเพื่อเลื่อนหน้าต่างแชทลงอัตโนมัติเมื่อ	채팅 입력 창 오른쪽에 있는 설정 메뉴에서 채팅 입력 시 채팅창 스크롤이 자동으로 맨 밑으로 이동하는 
ETC_20160718_022278	ฟังก์ชั่นเลื่อนลง	하단 이동 기능
ETC_20160718_022279	ถูกเปิดใช้งาน	을 이용할 수 있습니다.
ETC_20160718_022280	คุณสามารถใช้ฟังก์ชั่น Guild Chatting ได้โดยกด Alt+Enter	Alt+Enter 키를 입력해 길드 채팅을 할 수 있습니다.
ETC_20160718_022281	คุณสามารถเปลี่ยนประเภทแชทได้โดยกดปุ่ม Tab	Tap 키를 이용해 채팅 타입을 변경할 수 있습니다.
ETC_20160718_022282	GM: เปลี่ยนสถานะเควสของ PC ที่อยู่ใกล้ๆ	운영자 : 주변 PC 퀘스트 진행상태 변경
ETC_20160718_022283	GM : เปลี่ยนสถานะซ่อน/แสดง NPC	운영자 : 주변 PC의 NPC Hide/UnHide 변경
ETC_20160718_022284	/AccumulatedTickets	/누적티켓
ETC_20160718_022285	/Test	/테스트
ETC_20160718_022286	อาจเกิดปัญหาขึ้นกับตัวเกม กรุณาติดตั้ง DirectX เวอร์ชั่นล่าสุด	게임에 이상이 있을 수 있습니다. 최신 버전의 DirectX를 설치해 주세요.
ETC_20160718_022287	สถานที่[{Name}] ที่นี่	[{Name}] 아이템을 올려주세요.
ETC_20160718_022288	โอกาสยกระดับ {P}%	초월 성공률 {P}%
ETC_20160718_022289	คุณต้องการที่จะยกระดับหรือไม่?	정말 초월을 시작하시겠습니까?
ETC_20160718_022290	คุณยกระดับไอเทมนี้สำเร็จ	아이템 초월을 성공하였습니다.
ETC_20160718_022291	คุณยกระดับไอเทมนี้ไม่สำเร็จ	아이템 초월을 실패하였습니다.
ETC_20160718_022292	คุณไม่สามารถยกระดับไอเทมนี้ได้อีกต่อไป	더 이상 초월할 수 없습니다.
ETC_20160718_022293	กำลังคืน {Item} (x{Count})	{Item} {Count}개 반환 예정
ETC_20160718_022294	ไอเทมที่นำมาแยกส่วนจะถูกทำลาย คุณจะดำเนินการหรือไม่?	분해한 아이템은 삭제됩니다. 계속하시겠습니까?
ETC_20160718_022295	คุณต้องการที่จะแยกส่วนไอเทมที่ยกระดับมาแล้วใช่หรือไม่?	정말 초월된 아이템을 분해하시겠습니까?
ETC_20160718_022296	สามารถแยกส่วนได้เฉพาะไอเทมที่ยกระดับมาแล้วเท่านั้น	초월된 아이템만 분해가 가능합니다.
ETC_20160718_022297	คุณจะไม่ได้รับหินตีบวกคืน ถึงแม้ว่าคุณจะนำเอฟเฟกต์จากการตีบวกออกแล้วก็ตาม คุณจะดำเนินการหรือไม่?	초월을 제거하면 초월에 사용된 초월석을 돌려받을 수 없습니다. 계속하시겠습니까?
ETC_20160718_022298	ระดับการตีบวกจะถูกรีเซ็ต คุณจะดำเนินการหรือไม่?	초월수치가 초기화 됩니다. 계속하시겠습니까?
ETC_20160718_022299	นำเอฟเฟกต์จากการตีบวกออกแล้ว	초월이 제거되었습니다.
ETC_20160718_022300	สามารถนำไอเทมที่ตีบวกแล้วออกได้เท่านั้น	초월된 아이템만 제거가 가능합니다.
ETC_20160718_022301	ไม่สามารถตีบวกไอเทมนี้ได้	초월이 불가능한 아이템입니다.
ETC_20160718_022302	ไอเทมที่นำมาแยกส่วนมีหินตีบวกไม่เพียงพอ	사용된 초월의 돌이 부족하여 분해할 수 없습니다.
ETC_20160718_022303	คุณไม่สามารถใช้มันได้กับไอเทมที่มี Potential เต็ม	최대 포텐셜인 아이템에는 사용하실 수 없습니다.
ETC_20160718_022304	ไม่สามารถตีบวกไอเทมนี้ได้	초월되지 않은 아이템입니다.
ETC_20160718_022305	ไม่สามารถแยกส่วนไอเทมนี้ได้	초월 분해가 불가능한 아이템입니다.
ETC_20160718_022306	ไม่สามาถนำเอฟเฟกต์จากการตีบวกออกจากไอเทมนี้ได้	초월 제거가 불가능한 아이템입니다.
ETC_20160718_022307	คุณต้องวางอุปกรณ์{nl}ลงในวงกลมด้านบน{nl}เพื่อทำการตีบวก	초월 시도를 하시려면{nl} 먼저 위의 원 안에 장비를  {nl}올려둬야 합니다.
ETC_20160718_022308	คลิกขวาที่อุปกรณ์{nl}เพื่อเลิกทำและยกเลิกกระบวนการ	취소 하시려면 위의 장비를 {nl}오른쪽 클릭으로 해제해주세요.
ETC_20160718_022309	คุณไม่สามารถซื้อสีได้อีก	이미 습득한 색은 재 구입하실 수 없습니다.
ETC_20160718_022310	ไอเทมนี้หมดอายุแล้ว	사용기한이 지난 아이템 입니다.
ETC_20160718_022311	ไอเทมนี้ยังไม่หมดอายุ	사용기한이 있는 아이템 입니다.
ETC_20160718_022312	ไม่สามารถสวมใส่ไอเทมที่หมดอายุแล้วได้	사용기간이 지난 아이템은 착용이 불가능합니다.
ETC_20160718_022313	[Transcendence] Stage {Count} - เพิ่ม Damage	초월 {Count}단계 공격력 증가
ETC_20160718_022314	[Transcendence] Stage {Count} - เพิ่ม Def	초월 {Count}단계 물리 방어력 증가
ETC_20160718_022315	[Transcendence] Stage {Count} - เพิ่ม Accuracy	초월 {Count}단계 명중 증가
ETC_20160718_022316	[Transcendence] Stage {Count} - เพิ่ม Evasion	초월 {Count}단계 회피 증가
ETC_20160718_022317	[Transcendence] Stage {Count} - เพิ่ม Magic Amplification	초월 {Count}단계 마법 증폭 증가
ETC_20160718_022318	[Transcendence] Stage {Count} - เพิ่ม CON	초월 {Count}단계 체력 증가
ETC_20160718_022319	[Transcendence] Stage {Count} - เพิ่ม Mdef	초월 {Count}단계 마법 방어력 증가
ETC_20160718_022320	คุณไม่สามารถซื้อขายไอเทมที่ตีบวกแล้วได้	초월된 아이템은 거래할 수 없습니다.
ETC_20160718_022321	ไอเทมนี้หมดอายุแล้วหรือไม่ได้ลงทะเบียนไว้	기간이 만료된 아이템이거나 등록할 수 없는 아이템입니다..
ETC_20160718_022322	คุณไม่สามารถแปลงร่างเป็นมอนสเตอร์นี้ได้	해당 몬스터로 변신할 수 없습니다.
ETC_20160718_022323	คุณไม่สามารถเดินทางไปพื้นที่นี้	해당 지역으로는 이동할 수 없습니다.
ETC_20160718_022324	ร้านค้ากิจกรรม	이벤트 상점
ETC_20160718_022325	สามารถซื้อขายไอเทมได้ตามจำนวนครั้งต่อไปนี้	번 교환 가능 합니다.
ETC_20160718_022326	ไอเทมนี้ถูกซื้อขายครบตามจำนวนครั้งที่กำหนดแล้ว	교환 횟수를 모두 소진하였습니다.
ETC_20160718_022327	[Premium] Colored Lenses	[프리미엄]컬러 렌즈
ETC_20160718_022328	กระซิบ	귓말
ETC_20160718_022329	ประกาศ	공지
ETC_20160718_022330	/s สิ่งที่ต้องการพูด	/s 할말
ETC_20160718_022331	/y สิ่งที่ต้องการพูด	/y 할말
ETC_20160718_022332	/p สิ่งที่ต้องการพูด	/p 할말
ETC_20160718_022333	/g สิ่งที่ต้องการพูด	/g 할말
ETC_20160718_022334	/w Team name สิ่งที่ต้องการพูด	/w 팀명 할말
ETC_20160718_022335	เครื่องแต่งกาย Warrior	전사 코스튬
ETC_20160718_022336	เครื่องแต่งกาย Wizard	마법사 코스튬
ETC_20160718_022337	เครื่องแต่งกาย Archer	궁수 코스튬
ETC_20160718_022338	เครื่องแต่งกาย Cleric	성직자 코스튬
ETC_20160718_022339	เครื่องแต่งกายทั่วไป	공용 코스튬
ETC_20160718_022340	ส่วนผสมในการในการตีบวก	초월 재료
ETC_20160718_022341	ผลลัพธ์จากการตีบวก	초월 결과
ETC_20160718_022342	ข้อมูลการตีบวก	초월 안내
ETC_20160718_022343	แสดงตั๋ว	티켓을 보여준다
ETC_20160718_022344	รางวัลจากอีเวนต์ถูกส่งมอบให้หัวหน้ากิลด์แล้ว{nl}{ITEM}{nl}จำนวนตั๋วที่สะสมไว้ : {ACC}	이벤트 보상{nl}{ITEM}{nl}누적 티켓량 : {ACC}
