QUEST_LV_0400_20161005_000001	Kedoran Alliance Merchant Alta	Kedoran Alliance Merchant Alta
QUEST_LV_0400_20161214_001425	The demons have started to wander around Yudejan Forest.{nl}They covet the treaty that's hidden here.	ปีศาจเริ่มเดินเตร็ดเตร่ไปรอบๆ ป่า Yudejan {nl} พวกเขาต้องการสนธิสัญญาที่ซ่อนอยู่ที่นี่
QUEST_LV_0400_20161214_001426	"{nl}They must not want the Savior to obtain it.{nl}Goddess Laima did make provisions for this moment, but still..."	{nl} พวกเขาไม่ต้องการให้ ผู้ช่วยชีวิต ได้รับมัน {nl} เทพธิดา Laima กำลังทำข้อสัญญาอยู่ในขณะนี้ แต่ยังคง ...
QUEST_LV_0400_20161214_001427	"{nl}If you cross paths with a demon, eliminating it would be the wisest thing to do."	"{nl} ถ้าเจ้าข้ามเส้นทางไปกับปีศาจ, การกำจัดมันจะเป็นสิ่งที่ฉลาดที่สุดที่จะทำ"
QUEST_LV_0400_20161214_001428	My role is to merely relay unto you the words of Goddess Laima and look over the developments.{nl}All else is dependent on you alone.	บทบาทของข้าคือ แค่ถ่ายทอดคำพูดของเทพธิดา Laima และตรวจดูพัฒนาการต่างๆ {nl} อะไรทั้งหมดนี้ ขึ้นอยู่กับเจ้าคนเดียว
QUEST_LV_0400_20161214_001429	I can only tell you to beware of the demons that covet the treaty.	ข้าสามารถบอกเจ้าได้แค่ ระวังปีศาจที่อยากได้สนธิสัญญา
QUEST_LV_0400_20161214_001430	You have obtained the treaties and the slate.	เจ้าได้รับสนธิสัญญาและแผ่นหินแล้ว
QUEST_LV_0400_20161214_001431	Now you must read the contents of the treaty.{nl}You can do so at the Yudejan Altar.{nl}	ตอนนี้เจ้าต้องอ่านเนื้อหาของสนธิสัญญา {nl} เจ้าสามารถทำได้ที่ Yudejan Altar {nl}
QUEST_LV_0400_20161214_001432	"Place the treaty slate in the Yudejan Altar, then set the goddess treaty and the demon treaty.{nl}The contents of the treaty should then be revealed."	"วางแผ่นหินสนธิสัญญาใน Yudejan Altar,  จากนั้นจัดตั้งสนธิสัญญาเทพธิดาและสนธิสัญญาปีศาจ {nl} เนื้อหาของสนธิสัญญาควรได้รับการเปิดเผย"
QUEST_LV_0400_20161214_001433	"I know neither its contents nor what they will mean to you.{nl}But if it was Laima's will to pass onto you this message through Her prophecy, surely they are important."	ข้ารู้ว่าไม่ใช่ทั้งเนื้อหาและสิ่งที่พวกเขาจะหมายถึงเจ้า {nl} แต่ถ้าเป็นความปรารถนาของ Laima ที่ต้องการจะถ่ายทอดข้อความนี้ผ่านคำทำนายของเธอ แน่นอนว่าพวกเขาก็มีความสำคัญ
QUEST_LV_0400_20161214_001434	"The treaty was signed a thousand... No, more than a thousand years ago, by both demons and goddesses.{nl}Perhaps you already knew this, or perhaps you're surprised to hear it for the first time.{nl}"	"สนธิสัญญาได้รับการลงนามมาเป็นพัน ... ไม่สิ, มากกว่าหนึ่งพันปีมาแล้ว โดยทั้งปีศาจและเทพธิดา {nl} บางทีเจ้าอาจรู้เรื่องนี้แล้ว, หรือบางทีเจ้ารู้สึกประหลาดใจที่ได้ยินเป็นครั้งแรก {nl}"
QUEST_LV_0400_20161214_001435	All I'm certain of is that you must know the contents of the treaty.{nl}That is what Goddess Laima prepared for you.	ทั้งหมดที่ข้าแน่ใจคือ เจ้าต้องรู้เนื้อหาของสนธิสัญญา {nl} นั่นคือสิ่งที่เทพธิดา Laima เตรียมพร้อมไว้แล้วสำหรับเจ้า
QUEST_LV_0400_20161214_001436	"I wonder if things would have been different had we listened to Laima.{nl}It's too late for that, I suppose."	"ข้าสงสัยว่าจะมีอะไรที่แตกต่างจากที่เราได้ฟังจาก Laima {nl} มันสายเกินไปแล้วสำหรับสิ่งนั้น, ข้าเดาน่ะนะ"
QUEST_LV_0400_20161214_001437	Did you read the treaty?{nl}	เจ้าอ่านสนธิสัญญาแล้วหรือไม่ {nl}
QUEST_LV_0400_20161214_001438	I know not what meaning the treaty will have to you.{nl}I was simply told that it was meant for the eyes of the Savior.	ข้าไม่รู้ว่าสนธิสัญญามีความหมายอะไรกับเจ้า {nl} ข้าบอกได้แค่ว่านั่นหมายถึงดวงตาของผู้ช่วยชีวิต
QUEST_LV_0400_20161214_001439	The future depends on you now.{nl}Every choice you make shall be a step towards the salvation of our world.{nl}	ตอนนี้อนาคตขึ้นอยู่กับเจ้า {nl} ทุกทางเลือกที่เจ้าเลือกจะก้าวไปสู่ความอยู่รอดของโลกของเรา {nl}
QUEST_LV_0400_20161214_001440	"May your path be blessed, Savior..."	"ขอให้เส้นทางของเจ้าได้รับพร, ผู้ช่วยชีวิต ..."
QUEST_LV_0400_20161214_001443	The Nobreer Epidemic	การระบาดของโรค Nobreer
QUEST_LV_0400_20161214_001444	"Alright, I'll take your medicine."	"ตกลง, ข้าจะกินยาของเจ้า"
QUEST_LV_0400_20161214_001445	That's absolute nonsense.	นั่นเป็นเรื่องไร้สาระ
QUEST_LV_0400_20161214_001446	Finding a Cure for the Epidemic (1)	หาวิธีรักษาโรคระบาด (1)
QUEST_LV_0400_20161214_001447	I'll help you in place of Cicas.	ข้าจะช่วยเจ้าแทน Cicas
QUEST_LV_0400_20161214_001448	That's too bad.	นั่นมันแย่มาก.
QUEST_LV_0400_20161214_001449	Finding a Cure for the Epidemic (2)	หาวิธีรักษาโรคระบาด (2)
QUEST_LV_0400_20161214_001450	Let's do something else instead.	ลองทำอย่างอื่นแทน
QUEST_LV_0400_20161214_001451	Finding a Cure for the Epidemic (3)	หาวิธีรักษาโรคระบาด (3)
QUEST_LV_0400_20161214_001452	I'll collect the plant samples.	ข้าจะเก็บตัวอย่างพืช
QUEST_LV_0400_20161214_001453	We should get some rest first.	พวกเราควรจะได้พักผ่อนก่อน
QUEST_LV_0400_20161214_001454	You have found the sample collecting tools.{nl}Go to Nobreer Falls and collect plant samples.	เจ้าได้พบเครื่องมือเก็บตัวอย่าง {nl} ไปที่ Nobreer Falls และเก็บตัวอย่างพืช
QUEST_LV_0400_20161214_001455	Finding a Cure for the Epidemic (4)	หาวิธีรักษาโรคระบาด (4)
QUEST_LV_0400_20161214_001456	Finding a Cure for the Epidemic (5)	หาวิธีรักษาโรคระบาด (5)
QUEST_LV_0400_20161214_001457	I'll collect the monster samples.	ข้าจะรวบรวมตัวอย่างมอนสเตอร์
QUEST_LV_0400_20161214_001458	Are you completely out of your mind?	เจ้าเสียสติไปแล้วเหรอ?
QUEST_LV_0400_20161214_001459	You have found the tools for collecting monster samples.{nl}Go to the Upper Shipping Station and spray the monsters with the special solution before collecting samples.	เจ้าได้พบเครื่องมือในการเก็บตัวอย่างมอนสเตอร์แล้ว {nl} ไปที่ Upper Ship Station และฉีดพ่นมอนสเตอร์ด้วยสารละลายก่อนที่จะลงมือเก็บตัวอย่าง
QUEST_LV_0400_20161214_001460	Finding a Cure for the Epidemic (6)	หาวิธีรักษาโรคระบาด (6)
QUEST_LV_0400_20161214_001461	The Truth Behind the Epidemic (1)	ความจริงเบื้องหลังโรคระบาด (1)
QUEST_LV_0400_20161214_001462	I'll go get the epidemic detectors.	ข้าจะไปรับเครื่องตรวจจับโรคระบาด
QUEST_LV_0400_20161214_001463	I'm afraid it's time for me to say goodbye.	ข้าเกรงว่า มันถึงเวลาที่ข้าจะบอกลา
QUEST_LV_0400_20161214_001464	The Truth Behind the Epidemic (2)	ความจริงเบื้องหลังโรคระบาด (2)
QUEST_LV_0400_20161214_001465	Nobreer Demonic Plague	โรคระบาดของโรค Nobreer Demonic
QUEST_LV_0400_20161214_001466	"I'll go and check, don't worry."	"ข้าจะไปตรวจสอบเอง, อย่ากังวล."
QUEST_LV_0400_20161214_001467	I say we keep our hands off the situation now.	ข้าบอกว่าเราควรอยู่ให้ห่างจากสถานการณ์ตอนนี้
QUEST_LV_0400_20161214_001468	Laima's Prophecy Tome (1)	คำทำนายเล่นหนาของ Laima (1)
QUEST_LV_0400_20161214_001469	I'll find the treaty.	ข้าจะหาสนธิสัญญา
QUEST_LV_0400_20161214_001470	We should focus on the present instead of dwelling on the past.	เราควรมุ่งเน้นไปที่ปัจจุบันแทนที่จะเป็นที่อยู่อาศัยในอดีต
QUEST_LV_0400_20161214_001471	Laima's Prophecy Tome (2)	คำทำนายเล่นหนาของ Laima (2)
QUEST_LV_0400_20161214_001472	That sounds like too much for me already.	นั่นฟังดูมากเกินไปสำหรับข้าแล้ว
QUEST_LV_0400_20161214_001473	Demon Treaty (1)	สนธิสัญญาปีศาจ (1)
QUEST_LV_0400_20161214_001474	Using the power of fate...	ใช้พลังแห่งโชคชะตา ...
QUEST_LV_0400_20161214_001475	"The magic barrier was disabled and the treaty revealed itself.{nl}To obtain the demon treaty, collect the Impure Blood of Yudejan."	"อุปสรรคเวทย์มนตร์ ถูกปิดใช้งานและสนธิสัญญาเปิดเผยตัวเอง {nl} มีสนธิสัญญาเกี่ยวกับปีศาจ, เก็บรวบรวมเลือดไม่บริสุทธิ์ของ Yudejan"
QUEST_LV_0400_20161214_001476	Demon Treaty (2)	สนธิสัญญาปีศาจ (2)
QUEST_LV_0400_20161214_001477	You have collected the Impure Blood of Yudejan.{nl}Go to the red magic circle in Tamsus Way.	เจ้าได้เก็บรวบรวมเลือดที่ไม่บริสุทธิ์ของ Yudejan แล้ว {nl} ไปที่วงกลมเวทมนตร์สีแดงในเส้นทาง Tamsus
QUEST_LV_0400_20161214_001478	Demon Treaty (3)	สนธิสัญญาปีศาจ (3)
QUEST_LV_0400_20161214_001479	The evil energy became stronger with the impure blood of Yudejan.{nl}Go to Tamsus Ikeitimas and find the token of the demon treaty.	พลังชั่วร้ายเริ่มแข็งแกร่งขึ้นด้วยเลือดที่ไม่บริสุทธิ์ของ Yudejan {nl} ไปที่ Tamsus Ikeitimas และค้นหาสัญลักษณ์ของสนธิสัญญาปีศาจ
QUEST_LV_0400_20161214_001480	Demon Treaty (4)	สนธิสัญญาปีศาจ (4)
QUEST_LV_0400_20161214_001481	Adding evil energy...	การเพิ่มพลังชั่วร้าย ...
QUEST_LV_0400_20161214_001482	Acquiring the demon treaty...	ได้รับสนธิสัญญาปีศาจ ...
QUEST_LV_0400_20161214_001483	The demon treaty is now in your hands.{nl}Return to the site of the treaty seal.	สนธิสัญญาปีศาจอยู่ในมือของเจ้าแล้ว {nl} กลับไปยังที่ตั้งของผนึกสนธิสัญญา
QUEST_LV_0400_20161214_001484	Goddess Treaty (1)	สนธิสัญญาเทพธิดา (1)
QUEST_LV_0400_20161214_001485	Opening the demon seal...	เปิดผนึกปีศาจ....
QUEST_LV_0400_20161214_001486	"You have released the demon seal.{nl}As told by the Prophecy Tome, go to Sviesos Way and find the Goddess' Stone of Faith."	"เจ้าได้ปลดปล่อยผนึกปีศาจ {nl} ตามที่ หนังสือคำทำนายเล่มหนา ได้บอกไว้, ไปที่เส้นทาง Sviesos  และหาหินแห่งศรัทธาของเทพธิดา"
QUEST_LV_0400_20161214_001487	You have found the Goddess' Stone of Faith.{nl}Go to Tamsus Ikeitimas and obtain the token of the goddess treaty.	เจ้าได้พบหินแห่งศรัทธาของเทพธิดา {nl} ไปที่ Tamsus Ikeitimas และได้รับสัญลักษณ์ของสนธิสัญญาเทพธิดา
QUEST_LV_0400_20161214_001488	Goddess Treaty (1)	สนธิสัญญาเทพธิดา (1)
QUEST_LV_0400_20161214_001489	Acquiring the goddess treaty...	ได้รับสนธิสัญญาเทพธิดา ...
QUEST_LV_0400_20161214_001490	The goddess treaty is now in your hands.{nl}Return to the site of the treaty seal.	สนธิสัญญาเทพธิดาอยู่ในมือของเจ้าแล้ว {nl} กลับไปยังที่ตั้งของผนึกสนธิสัญญา
QUEST_LV_0400_20161214_001491	A Story of Demons and Goddesses (1)	เรื่องราวของเหล่าปีศาจและเทพธิดา (1)
QUEST_LV_0400_20161214_001492	Opening the treaty seal...	เปิดผนึกสนธิสัญญาปีศาจ....
QUEST_LV_0400_20161214_001493	You have released the treaty seal and obtained the key.{nl}Find the box in the Yudejan Altar.	เจ้าได้ปลดปล่อยผนึกสนธิสัญญาและได้รับกุญแจ {nl} ค้นหากล่องในแท่นบูชา Yudejan
QUEST_LV_0400_20161214_001494	A Story of Demons and Goddesses (2)	เรื่องราวของเหล่าปีศาจและเทพธิดา (2)
QUEST_LV_0400_20161214_001495	A Story of Demons and Goddesses (3)	เรื่องราวของเหล่าปีศาจและเทพธิดา (3)
QUEST_LV_0400_20161214_001496	I will go and see the treaty now.	ข้าจะไปดูสนธิสัญญาเดี๋ยวนี้
QUEST_LV_0400_20161214_001497	Reading the treaty...	อ่านสนธิสัญญา
QUEST_LV_0400_20161214_001498	Talk to Plague Doctor Jugrinas	พูดคุยกับผู้เชี่ยวชาญโรคระบาด Jugrinas
QUEST_LV_0400_20161214_001499	Plague Doctor Jugrinas is looking after patients. Ask him about what happened.	หมอโรคระบาด Jugrinas กำลังมองหาผู้ป่วยอยู่  ถามเขาเกี่ยวกับสิ่งที่เกิดขึ้น
QUEST_LV_0400_20161214_001500	Take the Medicine Against the Nobreer Epidemic	ใช้ยาต้านการแพร่ระบาดของโรค Nobreer
QUEST_LV_0400_20161214_001501	Take the medicine against the Nobreer epidemic Jugrinas has given you.	Jugrinas ได้ให้เจ้า กินยาต้านการแพร่ระบาดของโรค Nobreer
QUEST_LV_0400_20161214_001502	Talk to Jugrinas	พูดคุยกับ Jugrinas
QUEST_LV_0400_20161214_001503	You have taken the medicine. Talk to Jugrinas.	เจ้าได้รับยา พูดคุยกับ Jugrinas
QUEST_LV_0400_20161214_001504	Finding a Cure for the Epidemic	หาวิธีรักษาการโรคระบาด
QUEST_LV_0400_20161214_001505	Ask Jugrinas about what happened at Nobreer Forest.	ถาม Jugrinas เกี่ยวกับสิ่งที่เกิดขึ้นที่ป่า Nobreer
QUEST_LV_0400_20161214_001506	Retrieve Jugrinas' Testing Solution	เรียกคืน วิธีการทดสอบของ Jugrinas
QUEST_LV_0400_20161214_001507	Collect some testing solution from the containers Jugrinas left at the entrance of Emmet Forest.	เก็บรวบรวมสารละลายจากภาชนะ.  Jugrinas ที่ทางเข้าของป่า Emmet
QUEST_LV_0400_20161214_001508	Deliver to Jugrinas	จัดส่งไปยัง Jugrinas
QUEST_LV_0400_20161214_001509	You have collected the testing solution. Bring it to Jugrinas.	เจ้าได้รวบรวมสารละลายแล้ว นำมันไปให้ Jugrinas
QUEST_LV_0400_20161214_001510	Ask Jugrinas if he found something from the testing solution you brought.	ถาม Jugrinas ถ้าเขาพบบางอย่างจากการทดลองสารละลายที่เจ้านำมา
QUEST_LV_0400_20161214_001511	Set the Epidemic Detectors on Nobreer Intersection	ติดตั้งเครื่องตรวจจับโรคระบาด ไว้ที่สี่แยก Nobreer
QUEST_LV_0400_20161214_001512	Jugrinas wants to obtain clues from the epidemic detectors. Go to Nobreer Intersection and set up the epidemic detectors.	Jugrinas ต้องการได้หลักฐานจากเครื่องตรวจจับโรคระบาด ไปที่สี่แยก Nobreer และติดตั้งเครื่องตรวจจับโรคระบาด
QUEST_LV_0400_20161214_001513	Report to Jugrinas	รายงานต่อ Jugrinas
QUEST_LV_0400_20161214_001514	You have set up the epidemic detectors. Report back to Jugrinas.	เจ้าได้ติดตั้งเครื่องตรวจจับโรคระบาด รายงานกลับไปที่ Jugrinas
QUEST_LV_0400_20161214_001515	"Now that the detectors are set up, ask Jugrinas about what to do next."	"ตอนนี้เครื่องตรวจจับได้รับการตั้งค่าแล้ว,  ถาม Jugrinas เกี่ยวกับสิ่งที่ต้องทำต่อไป"
QUEST_LV_0400_20161214_001516	Find the Sample Collecting Tools at the Lower Shipping Station	ค้นหาเครื่องมือเก็บตัวอย่างที่ Lower Shipping Station
QUEST_LV_0400_20161214_001517	Jugrinas wants to get started on something else while he waits for the detectors to react. Go to the Lower Shipping Station and find the sample collecting tools.	Jugrinas ต้องการเริ่มต้นอย่างอื่นในขณะที่เขารอให้เครื่องตรวจจับตอบโต้ ไปที่  Lower Shipping Station  และหาเครื่องมือเก็บรวบรวมตัวอย่าง
QUEST_LV_0400_20161214_001518	Collect Plant Samples at Nobreer Falls	เก็บตัวอย่างพืชที่ Nobreer Falls
QUEST_LV_0400_20161214_001519	Go to Nobreer Falls and collect a few samples from local plants.	ไปที่ Nobreer Falls และเก็บตัวอย่างจากพืชท้องถิ่น
QUEST_LV_0400_20161214_001520	You have collected the plant samples. Bring them to Jugrinas.	เจ้าได้เก็บตัวอย่างพืชแล้ว. นำพวกมันไปให้ Jugrinas
QUEST_LV_0400_20161214_001521	Talk to Jugrinas.	พูดคุยกับ Jugrinas.
QUEST_LV_0400_20161214_001522	Find Cicas' Tools at Big Tree Footbridge	ค้นหาเครื่องมือของ Cicas ที่สะพาน Big Tree
QUEST_LV_0400_20161214_001523	Jugrinas wants you to collect monster samples while he analyses the plant samples. Go to Big Tree Footbridge and find Jugrinas' special solution and sample containers.	Jugrinas ต้องการให้เจ้ารวบรวมตัวอย่างมอนสเตอร์ ขณะที่เขาวิเคราะห์ตัวอย่างพืช ไปที่สะพานต้นไม้ใหญ่ และหาสารละลายพิเศษและภาชนะบรรจุตัวอย่างของ Jugrinas
QUEST_LV_0400_20161214_001524	Spray Monsters with the Special Solution and Defeat Them	ฉีดพ่นมอนสเตอร์ด้วยสารละลายพิเศษและเอาชนะพวกเขา
QUEST_LV_0400_20161214_001525	Use Jugrinas' special solution on the monsters and defeat them to collect samples.	ใช้สารละลายพิเศษของ Jugrinas กับมอนสเตอร์และเอาชนะพวกเขาเพื่อเก็บรวบรวมตัวอย่าง
QUEST_LV_0400_20161214_001526	You have collected sufficient monster samples. Return to Jugrinas.	เจ้าได้เก็บรวบรวมตัวอย่างมอนสเตอร์เพียงพอแล้ว กลับไปที่ Jugrinas
QUEST_LV_0400_20161214_001527	Use the Special Solution and Defeat %s	ใช้สารละลายพิเศษและเอาชนะ %s
QUEST_LV_0400_20161214_001528	The Truth Behind the Epidemic	เบื้องหลังความจริงของโรคระบาด
QUEST_LV_0400_20161214_001529	"Now that you've collected enough samples, ask Jugrinas about what he wants to do."	"ตอนนี้เจ้าได้เก็บรวบรวมตัวอย่างเพียงพอแล้ว, ถาม Jugrinas เกี่ยวกับสิ่งที่เขาต้องการทำ"
QUEST_LV_0400_20161214_001530	Check the Epidemic Detectors in Nobreer Intersection	ตรวจสอบเครื่องตรวจจับโรคระบาดในสี่แยก Nobreer
QUEST_LV_0400_20161214_001531	Go to Nobreer Intersection and check the epidemic detectors installed there.	ไปที่สี่แยก Nobreer และตรวจสอบเครื่องตรวจจับโรคระบาดที่ติดตั้งอยู่ที่นั่น
QUEST_LV_0400_20161214_001532	Collect the Epidemic Detectors at Nobreer Intersection	เก็บรวบรวมเครื่องตรวจจับการระบาดของโรคที่สี่แยก Nobreer
QUEST_LV_0400_20161214_001533	Retrieve all the epidemic detectors installed at Nobreer Intersection.	เรียกคืนเครื่องตรวจจับโรคระบาดทั้งหมดที่ติดตั้งไว้ที่สี่แยก Nobreer
QUEST_LV_0400_20161214_001534	The epidemic detectors give out an ominous energy. Bring them to Jugrinas.	เครื่องตรวจจับโรคระบาดทำให้เกิดพลังงานที่เป็นลางไม่ดี นำพวกมันไปหา Jugrinas
QUEST_LV_0400_20161214_001535	Jugrinas is looking at the detectors with a serious expression. Hear what he has to say.	Jugrinas กำลังมองไปที่เครื่องตรวจจับด้วยสีหน้าที่จริงจัง.  ฟังสิ่งที่เขาพูด
QUEST_LV_0400_20161214_001536	Check the Evac Route for Ominous Energy	ตรวจสอบเส้นทาง Evac สำหรับพลังงานที่เป็นลางไม่ดี
QUEST_LV_0400_20161214_001537	Jugrinas believes the ominous energy is the source of the Nobreer epidemic. Go to the Evac Route and check for sources of ominous energy.	Jugrinas เชื่อว่าพลังงานที่เป็นลางไม่ดี คือที่มาของการระบาดของโรค Nobreer ไปที่เส้นทาง Evac และตรวจสอบแหล่งที่มาของพลังงานที่เป็นลางไม่ดี
QUEST_LV_0400_20161214_001538	The source of the ominous energy was a Grim Reaper. Bring the Core obtained from the Grim Reaper to Jugrinas.	แหล่งที่มาของพลังงานที่เป็นลางไม่ดีคือ Grim Reaper นำแกนที่ได้รับจาก Grim Reaper ไปหา Jugrinas
QUEST_LV_0400_20161214_001539	Defeat the Grim Reaper	เอาชนะ Grim Reaper
QUEST_LV_0400_20161214_001540	Laima's Prophecy Tome	หนังสือคำทำนายเล่มหนาของ Laima
QUEST_LV_0400_20161214_001541	Talk to Kupole Lenja	พูดคุยกับ Kupole Lenja
QUEST_LV_0400_20161214_001542	Talk to Kupole Lenja.	พูดคุยกับ Kupole Lenja
QUEST_LV_0400_20161214_001543	Attest to the Prophecy Pagodas	รับรองให้เจดีย์แห่งคำทำนาย
QUEST_LV_0400_20161214_001544	"According to Kupole Lenja, to prove that you are the Savior, you need to attest your status to the pagodas in Pranasyste Way. Prove yourself to the three stone pagodas and obtain the Prophecy Tome."	"ตามที่ Kupole Lenja, ที่พิสูจน์ว่าเจ้าคือผู้ช่วยชีวิต เจ้าต้องรับรองสถานะของเจ้ากับเจดีย์ในเส้นทาง Pranasyste พิสูจน์ตัวเองในเจดีย์หินทั้งสามและ ได้รับหนังสือคำทำนายเล่มหนา"
QUEST_LV_0400_20161214_001545	You attested your status to the pagodas and received the Prophecy Tome. Return to Kupole Lenja.	เจ้ารับรองสถานะของเจ้าในเจดีย์และได้รับหนังสือทำนายเล่มหนา กลับไปที่ Kupole Lenja
QUEST_LV_0400_20161214_001546	Attest to the Prophecy Pagodas and Obtain the %s	รับรองให้เจดีย์แห่งคำทำนาย และรับ% s
QUEST_LV_0400_20161214_001547	There doesn't seem to be anything written on the Prophecy Tome. Ask Kupole Lenja about what to do.	ดูเหมือนจะไม่มีอะไรที่เขียนอยู่ในหนังสือคำทำนายเล่มหน้าเลย ถาม Kupole Lenja เกี่ยวกับสิ่งที่ต้องทำ
QUEST_LV_0400_20161214_001548	Receive the Power of Fate from the Orb of Fate	ได้รับพลังแห่งโชคชะตาจากลูกโลกแห่งโชคชะตา
QUEST_LV_0400_20161214_001549	"To read the Prophecy Tome, you need Laima's power of fate. Obtain the power of fate from the Orb of Fate located in Rechimas Way."	หากต้องการอ่านคำทำนาย เจ้าต้องใช้พลังแห่งโชคชะตาของ Laima. ได้รับพลังแห่งโชคชะตาจาก ลูกโลกแห่งโชคชะตา ที่อยู่ในเส้นทาง Rechimas
QUEST_LV_0400_20161214_001550	Demon Treaty	สนธิสัญญาปีศาจ
QUEST_LV_0400_20161214_001551	Check the Treaty Seal	ตรวจสอบผนึกสนธิสัญญา
QUEST_LV_0400_20161214_001552	Prophecy Tome: go to the treaty seal at the site where it is kept.	หนังสือคำทำนายเล่มหนา : ไปที่ผนึกของสนธิสัญญาที่เก็บไว้
QUEST_LV_0400_20161214_001553	Change the Colors of the Treaty Lights	เปลี่ยนสีของไฟสนธิสัญญา
QUEST_LV_0400_20161214_001554	"Prophecy Tome: first, you must disable the magic protecting the treaty seal. Find the lights around the treaty seal and make each one shine in a different color to disable the magic."	หนังสือคำทำนายเล่มหนา: ขั้นแรกเจ้าต้องปิดการใช้งานเวทมนตร์ที่ปกป้องผนึกสนธิสัญญา ค้นหาไฟรอบผนึกสนธิสัญญาและทำให้ทุกคนส่องแสงด้วยสีที่ต่างกันเพื่อปิดการใช้งานเวทมนตร์
QUEST_LV_0400_20161214_001555	Disable the Magic Protecting the Treaty Seal	ปิดการใช้งานเวทย์มนตร์ปกป้องผนึกสนธิสัญญา
QUEST_LV_0400_20161214_001556	"Prophecy Tome: once every light is shining in a different color, you can disable the magic protecting the treaty seal. Use the power of fate on the treaty seal to disable its protective magic."	"หนังสือคำทำนายเล่มหนา: เมื่อทุกๆ ไฟส่องแสงด้วยสีที่ต่างกันแล้ว, เจ้าสามารถปิดการใช้งานเวทมนตร์ที่ปกป้องผนึกของสนธิสัญญาได้ ใช้พลังแห่งโชคชะตาในผนึกสนธิสัญญาเพื่อปิดการใช้งานเวทมนตร์ป้องกัน"
QUEST_LV_0400_20161214_001557	Defeat Monsters to Obtain the Impure Blood of Yudejan	เอาชนะมอนสเตอร์เพื่อรับเลือดที่ไม่บริสุทธิ์ของ  Yudejan
QUEST_LV_0400_20161214_001558	"Prophecy Tome: an evil offering is required to obtain the demon treaty. Of course, I don't expect you to be carrying around any evil objects. It may not be the best option, but I believe you can get some evil energy from monster blood. First, hunt the monsters to collect their blood."	หนังสือคำทำนายเล่มหนา:  ข้อเสนอของปีศาจ ที่ต้องการได้รับสนธิสัญญาปีศาจ  แน่นอน ข้าไม่ได้คาดหวังว่าเจ้าจะต้องถือวัตถุชั่วร้ายใดๆ ไปรอบๆ  มันอาจจะไม่ใช่ทางเลือกที่ดีที่สุด แต่ข้าเชื่อว่าเจ้าจะได้รับพลังชั่วร้ายจากเลือดมอนสเตอร์ ก่อนอื่นให้ตามล่ามอนสเตอร์เพื่อเก็บรวบรวมเลือด
QUEST_LV_0400_20161214_001559	Imbue the Impure Blood of Yudejan with Demon Energy	สร้างเลือดที่ไม่บริสุทธิ์ของ yudejan ด้วยพลังงานปีศาจ
QUEST_LV_0400_20161214_001560	Prophecy Tome: the Yudejan blood is not enough. You need more demon energy to have a truly evil offering. The demons left behind some red magic circles in Tamsorce Way. Take the offering and step on the magic circles to infuse it with their evil energy.	หนังสือคำทำนายเล่มหนา:  เลือดของ Yudejan ไม่เพียงพอ เจ้าต้องการพลังงานปีศาจมากขึ้นเพื่อให้ได้รับข้อเสนอของปีศาจอย่างแท้จริง ปีศาจได้จากไปหลังจากทิ้งเวทย์มนตร์สีแดงไว้ในเส้นทาง Tamsorce นำข้อเสนอและเหยียบไปบนวงกลมเวทย์มนตร์ทีใส่มันไว้ด้วยพลังปีศาจของพวกเขา
QUEST_LV_0400_20161214_001561	Retrieve the Demon Treaty in Tamsus Ikeitimas	เรียกคืนสนธิสัญญาปีศาจใน Tamsus Ikeitimas
QUEST_LV_0400_20161214_001562	Prophecy Tome: only after the offering is complete can you obtain the demon treaty. The treaty is in Tamsus Ikeitimas.	หนังสือคำทำนายเล่มหนา : เพียงหลังจากข้อเสนอสำเร็จ เจ้าสามารถรับสนธิสัญญาปีศาจได้ สนธิสัญญาอยู่ใน Tamsus Ikeitimas
QUEST_LV_0400_20161214_001563	Retrieve the Demon Treaty	เรียกคืนสนธิสัญญาปีศาจ
QUEST_LV_0400_20161214_001564	You have defeated the demon coveting the treaty. Use the impure blood of Yudejan again to obtain the demon treaty.	เจ้าเอาชนะปีศาจที่อยากได้สนธิสัญญาได้. ใช้เลือดที่ไม่บริสุทธิ์ของ Yudejan อีกครั้ง เพื่อให้ได้สนธิสัญญาปีศาจ
QUEST_LV_0400_20161214_001565	Defeat the %s Coveting the Treaty	เอาชนะ % s ความอยากได้สนธิสัญญา
QUEST_LV_0400_20161214_001566	Goddess Treaty	สนธิสัญญาเทพธิดา
QUEST_LV_0400_20161214_001567	Release the Demon Seal Connected to the Treaty Seal	ปลดปล่อยผนึกปีศาจที่เชื่อมต่อกับผนึกสนธิสัญญา
QUEST_LV_0400_20161214_001568	"Prophecy Tome: the treaty was sealed by both demons and goddesses. If you have a token of the demon treaty, you can release the seal made by the demons. Use the token on the demon treaty seal to release it."	"หนังสือคำทำนายเล่มหนา : สนธิสัญญาถูกปิดผนึกโดยทั้งปีศาจและเทพธิดา ถ้าเจ้ามีสัญลักษณ์ของสนธิสัญญาปีศาจ, เจ้าสามารถปลดปล่อยผนึกที่ทำโดยปีศาจได้ ใช้สัญลักษณ์ในผนึกสนธิสัญญาปีศาจเพื่อปลดปล่อยมัน"
QUEST_LV_0400_20161214_001569	Find the Goddess' Stone of Faith	ค้นหาหินแห่งศรัทธาของเทพธิดา
