QUEST_20150317_000001	Please select the user requiring a quest update.	กรุณาเลือกผู้ใช้ที่ต้องรับการอัพเดทเควส
QUEST_20170313_005478	INT is an essential stat for a Cleric class.{nl}INT increases magic attack.{nl}	INT นั้นเป็นค่าสถาณะสำคัญสำหรับ Cleric class{nl}INT เพิ่ม magic attack{nl}
QUEST_20170313_005479	{nl}But sometimes you may need some STR or SPR.	{nl}แต่บางครั้งเจ้าอาจจะต้องการ STR หรือ SPR
QUEST_20170313_005480	"{nl}STR increases physical attack, critical attack and the amount of items you can carry.{nl}SPR is good for increasing your max SP and SP recovery."	"{nl}STR เพิ่ม physical attack, critical attack และปริมาณของไอเทมที่เจ้าสามารถพกได้{nl}SPR นั้นดีสำหรับเพิ่ม max SP และ SP recovery ของเจ้า"
QUEST_20170313_005481	{nl}You need to think very carefully about the path you'll be taking.{nl}	{nl}เจ้าต้องคิดอย่างรอบคอบเกี่ยวกับเส้นทางที่เจ้าจะเลือก{nl}
QUEST_20170313_005482	You need to donate an appropriate amount to be blessed.	เจ้าต้องบริจาคถึงปริมาณที่เหมาะสมเพื่อที่จะได้รับพร
QUEST_20170313_005483	Fallen Legwyn Family Dungeon (Recommended Lv : 140){nl}Only you and your party members can enter together.{nl}Do you want to enter?	Fallen Legwyn Family Dungeon (Recommended Lv : 140){nl}เฉพาะเจ้าและปาร์ตี้ของเจ้าสามารถเข้าไปด้วยกันได้{nl}เจ้าแน่ใจที่จะเข้าไป?
QUEST_20170313_005484	Archmage Tower Dungeon (Recommended Lv : 200){nl}Only you and your party members can enter together.{nl}Do you want to enter?	Archmage Tower Dungeon (Recommended Lv : 200){nl}เฉพาะเจ้าและปาร์ตี้ของเจ้าสามารถเข้าไปด้วยกันได้{nl}เจ้าแน่ใจที่จะเข้าไป?
QUEST_20170313_005485	Catacombs Underground Dungeon (Recommended Lv : 230){nl}Only you and your party members can enter together.{nl}Do you want to enter?	Catacombs Underground Dungeon (Recommended Lv : 230){nl}เฉพาะเจ้าและปาร์ตี้ของเจ้าสามารถเข้าไปด้วยกันได้{nl}เจ้าแน่ใจที่จะเข้าไป?
QUEST_20170313_005486	"Weird, huh? Told ya it would go bad like that.{nl}Ah well. Gotta go and get more."	แปลก หืม? บอกเจ้าแล้วว่ามันจะเสียถ้ายังเป็นแบบนั้น{nl}อ้า ต้องไปเอามาเพิ่มแล้วสิ
QUEST_20170313_005487	"There's a pile of dirt, for some reason."	มันมีกองสิ่งสกปรก ด้วยเหตุผลบางอย่าง
QUEST_20170313_005488	"You got some nerve, talking me up like that. Want a seed?"	เจ้าใจกล้าเหมือนกันนี่ ให้กำลังใจข้าแบบนี้ ต้องการเมล็ดพืช?
QUEST_20170313_005489	"You can go and plant it by the fences. Don't think it'll do much, but try."	เจ้าสามารถนำมันไปปลูกที่รั้ว ไม่คิดว่ามันจะทำอะไรได้มาก แต่ลองดูสิ
QUEST_20170313_005490	"The seed was planted, but nothing happened.{nl}Instead, the seed died."	เมล็ดพืชได้ถูกปลูก แต่ไม่มีอะไรเกิดขึ้น{nl}กลับกัน เมล็ดพืชได้ตายลง
QUEST_20170313_005491	"Are my farming tools being put to good use for the rebellion?{nl}We country people may not know much about these things, but we know when we need to take action."	อุปกรณ์ทำฟาร์มของข้าได้เป็นประโยชน์กับพวกกบฏหรือเปล่า?{nl}คนบ้านนอกอย่างเราอาจจะไม่รู้อะไรมากเกี่ยวกับพวกนี้ แต่เรารู้ว่าเราต้องลงมือทำ
QUEST_20170313_005492	I'm not someone to trust others that easily.{nl}But I have faith in Horacius.	ข้าไม่ใช่คนที่จะเชื่อคนอื่นได้ง่ายๆ{nl}แต่ข้ามีความเชื่อใน Horacius
QUEST_20170313_005493	{nl}The day will come when we can tend to our farms with peace of mind.	{nl}วันนั้นจะมาถึงวันที่เราสามารถทำฟาร์มของเราด้วยจิตใจที่สงบ
QUEST_20170313_005494	"I hear Horacius is doing quite well.{nl}Someone very talented was helping him, it seems."	ข้าได้ยินว่า Horacius กำลังเป็นไปด้วยดี{nl}ดูเหมือนว่า ใครบางคนที่มีความสามารถมากกำลังช่วยเขา
QUEST_20170313_005495	"{nl}Is that... you, perhaps?"	{nl}นั่นคือ... เจ้า บางที?
QUEST_20170313_005496	"Horacius will succeed.{nl}No; we will, together."	Horacius จะทำสำเร็จ{nl}ไม่ เราจะทำสำเร็จ ด้วยกัน
QUEST_20170313_005497	This device was used for protection against demons.	อุปกรณ์ได้ถูกใช้ป้องกันจากพวกปีศาจ
QUEST_20170313_005498	The multiple devices spread throughout the area weren't enough to stop things from happening.	อุปกรณ์หลายชิ้นที่ถูกกระจายไปทั่วบริเวณ ไม่พอที่จะหยุดอะไรบางอย่างให้เกิดขึ้น
QUEST_20170313_005499	This device shows the boundaries between goddesses and demons.	อุปกรณ์นี้แสดงให้เห็นถึงขอบเขตระหว่างเทพธิดา และปีศาจ
QUEST_20170313_005500	There are several devices like this spread throughout Tevhrin Stalactite Cave.	มันมีอุปกรณ์แบบนี้กระจายไปทั่ว Tevhrin Stalactite Cave.
QUEST_20170313_005501	Justas	Justas
QUEST_20170313_005502	Hm? What are those loose records you have there?{nl}Eitbaras...?{nl}That sounds familiar...	หืม? เจ้าบันทึกหลุดรุ่ยที่เจ้ามีนั่นคืออะไรกัน?{nl}Eitbaras...?{nl}นั่นฟังดูคุ้นๆ...
QUEST_20170313_005503	"{nl}Anyway, if you keep carrying them around like that, they'll be hard to read later on when you need them.{nl}Let me have a look."	{nl}ยังไงก็ตาม ถ้าเจ้ายังพกมันไปมาแบบนั้น มันจะยากถ้าต้องการอ่านมันในอนาคตเมื่อเจ้าต้องการมัน{nl}ให้ข้าดูหน่อยสิ
QUEST_20170313_005504	"Isn't it much better having these records made into a proper book?{nl}I took special care with the binding, so make sure you use them well."	มันคงจะดีกว่าไม่ใช่หรือถ้าทำบันทึกพวกนี้เป็นหนังสือจริงๆ?{nl}ข้าใส่ใจเป็นพิเศษกับการมัดมัน ดังนั้นทำให้แน่ใจว่าเจ้าใช้มันอย่างดี
QUEST_20170313_005505	Look at how Justas binded Demetrius' records.	ดูว่า Justas มัดบันทึกของ Demetrius ยังไง
QUEST_20170313_005506	"{nl}He ought to take care of other people's records the way he does his own...{nl}Anyway, let me see those."	{nl}เขาควรจะดูแลบันทึกของคนอื่นแบบเดียวกับที่เขาทำกับของเขา...{nl}ยังไงก็ตาม ให้ข้าดูพวกนั้นซิ
QUEST_20170313_005507	Here; I binded them back nice and tight.{nl}Now be gentle with them.	เอ้านี่ ข้ามัดมันอีกครั้งอย่างดีและแน่นหนา{nl}คราวนี้ทนุถนอมมันหน่อย
QUEST_20170313_005508	Should I pull on the rope again?	ข้าควรจะดึงเชือกอีกครั้งดีไหม?
QUEST_20170313_005509	I should find a spot where it's easier to grab the rope.	ข้าควรจะหาจุดที่มันง่ายต่อการจับเชือก
QUEST_20170313_005510	Can't grab the rope from here.	ไม่สามารถจับเชือกจากที่นี่ได้
QUEST_20170313_005511	A well?	บ่อน้ำ?
QUEST_20170313_005512	It just tastes like water.	มันรสชาติเหมือนน้ำ
QUEST_20170313_005513	Fortunately it doesn't look contaminated.	โชคดีที่มันดูไม่ได้ปนเปื้อนอะไร
QUEST_20170313_005514	It doesn't taste like much but it's easy to drink.	มันไม่ได้รสชาติเหมือนมากนักแต่มันดื่มง่ายมาก
QUEST_20170313_005515	"Can't make the rope move, even from here."	ไม่สามารถทำให้เชือกขยับ แม้แต่ตรงนี้
QUEST_20170313_005516	It seems to be stuck.	ดูเหมือนมันจะติด
QUEST_20170313_005517	I should leave it alone.	ข้าควรจะปล่อยมันไว้
QUEST_20170313_005518	This is the camp where Varkis was doing research.	นี่คือแคมป์ที่ Varkis กำลังทำการวิจัย
QUEST_20170313_005519	There's only a bonfire left now.	มันเหลือแค่กองไฟเท่านั้นตอนนี้
QUEST_20170313_005520	Varkis told me to watch out for that man.	Varkis บอกข้าให้ระวังผู้ชายคนนั้น
QUEST_20170313_005521	Varkis left a record behind when he died.	Varkis ทิ้งบันทึกเอาไว้ตอนที่เขาตาย
QUEST_20170313_005522	Did you meet him?{nl}You always need to be careful when a stranger is too kind to you.	เจ้าได้พบเขามั้ย?{nl}เจ้าต้องระวังเสมอเมื่อคนแปลกหน้านั้นดีกับเจ้ามาก
QUEST_20170313_005523	"Earthly attachment isn't letting me go back to the goddess, I guess.{nl}Why did you call?"	ข้าคิดว่า เพราะความเป็นห่วงบนโลก นั้นไม่ยอมให้ข้ากลับไปหาเทพธิดา{nl}เจ้าเรียกข้าทำไม?
QUEST_20170313_005524	"{nl}That man...?{nl}Oh, I don't know, my memory is fuzzy.{nl}Probably because I died."	{nl}ผู้ชายคนนั้น...?{nl}โอ้ ข้าไม่รู้ ความทรงจำของข้าเลอะเลือน{nl}บางทีเป็นเพราะข้าตาย
QUEST_20170313_005525	"Are you taking good care of my records?{nl}You didn't throw them away or anything, did you?"	เจ้าดูแลบันทึกของข้าอย่างดี?{nl}เจ้าไม่ได้โยนมันทิ้งไปหรืออะไรหรอกนะ ใช่ไหม?
QUEST_20170313_005526	You need to be careful with that man...{nl}It's just like I told you.	เจ้าต้องระวังเกี่ยวกับผู้ชายคนนั้น...{nl}มันเหมือนกับที่ข้าเคยบอกเจ้า
QUEST_20170313_005527	{nl}You never know when he might change.{nl}I can tell he's approaching you with a very... specific goal in mind.	{nl}เจ้าไม่รู้เมื่อไหร่ที่เขาจะเปลี่ยนไป{nl}ข้าบอกได้ว่าเขาเข้าหาเจ้าด้วย... จุดประสงค์บางอย่าง
QUEST_20170313_005528	An unknown barrel.	ถังที่ไม่รู้จัก
QUEST_20170313_005529	A strong scent of alcohol is coming from the broken barrel. It must have been a mead barrel.	กลิ่นที่แรงของแอลกอฮอล์กำลังออกมาจากถังที่แตก มันคงเป็นถังของเหล้าน้ำผึ้ง
QUEST_20170313_005530	The barrel broke. What kind of barrel is this?	ถังแตก นี่มันถังอะไรกันนะ?
QUEST_20170313_005531	There's a barrel. Kick it?	มีถังอยู่ เตะมัน?
QUEST_20170313_005532	This altar was inhabited by resentful spirits.	แท่นบูชานี้เป็นที่อาศัยของวิญญาณแค้น
QUEST_20170313_005533	Andale Village Resident Diary	ไดอารี่ของผู้อยู่อาศัยใน Andale Village
QUEST_20170313_005534	{nl}{nl}{@ST43}Andale Village Resident Diary{/}	{nl}{nl}{@ST43}ไดอารี่ของผู้อยู่อาศัยใน Andale Village{/}
QUEST_20170313_005535	"{nl}-The 4th of X {nl} - {nl} There's been very little traffic coming to town from the capital. {nl} When one family moved in, the whole village threw a welcome party. {nl} After all, how many outsiders do we get to meet these days? {nl}"	{nl}-The 4th of X {nl} - {nl}มันไม่ค่อยมีการจราจรมาสู่เมืองจากเมืองหลวงมากนัก {nl} พอครอบครัวไหนย้ายเข้ามา ทั้งหมู่บ้านก็จะจัดงานเลี้ยงต้อนรับ {nl}เพราะว่า จะมีคนนอกซักกี่คนที่เราได้เจอในทุกวันนี้? {nl}
QUEST_20170313_005536	"The 10th of X {nl} - {nl} Mr. Raman, who lived at the bank of the creek opposite from us, went on leave. His wife said he was off to get firewood. {nl} Well, for a long time he was gone in Klaipeda. {nl}I've heard that you can find a lot of beautiful girls in Klaipeda. {nl}"	The 10th of X {nl} - {nl} Mr. Ramanที่อาศัยอยู่ที่ฝั่งของแม้น้ำตรงข้ามเรา ได้จากไป ภรรยาของเขาบอกว่าเขาออกไปหาฟืน{nl}เขาได้หายไปเป็นเวลานานใน Klaipeda{nl}ข้าได้ยินมาว่าเจ้าสามารถหาสาวสวยๆได้เยอะใน Klaipeda{nl}
QUEST_20170313_005537	"The 16th of X {nl} - {nl} I got a stomachache drinking soup that I didn't know already went bad. {nl} I double-checked the smell before eating it, but there was no bad odor. {nl}I felt horrible inside so I went to the well for water. Even with the water, I continued to feel horrible. {nl}"	The 16th of X {nl} - {nl}ข้ารู้สึกปวดท้องเพราะกินซุปที่ข้าไม่รู้ว่ามันเสียแล้ว {nl}ข้าพยายามดมกลิ่นมันก่อนจะกิน แต่มันไม่มีกลิ่นเสีย {nl}ข้ารู้สึกแย่มากข้างในดังนั้นข้าเลยไปที่บ่อน้ำเพื่อกินน้ำ แม้แต่กินน้ำเข้าไปข้าก็ยังรู้สึกแย่{nl}
QUEST_20170313_005538	"I've been throwing up a lot lately but it seems to be getting better now. {nl}Tomorrow I'm going to go see Mr. Gordon to get some medicinal herbs. {nl} My little sister still hasn't come back yet. When I go to her room, I find no clothes. Even Mr. Raman is getting worried."	ข้าอ้วกออกมาบ่อยมากเดี๋ยวนี้แต่มันดูเหมือนจะดีขึ้นแล้ว {nl}วันพรุ่งนี้ข้าจะไปหา Mr. Gordon เพื่อเอาสมุนไพรยา{nl}น้องสาวของข้ายังไม่กลับมาเลย เมื่อข้าไปที่ห้องของเธอ ข้าไม่พบเสื้อผ้าเลย แม้แต่ Mr. Raman ก็เริ่มเป็นห่วง
QUEST_20170313_005539	"The 17th of X {nl} - {nl} The village was eerily quiet today. {nl}There are no signs of the people who went earlier to get herbs from Mr. Gordon.{nl}{nl}The 23rd of X {nl} - {nl} This might be the last time I get to write in this diary. {nl} Lyliana, you are the only family I have left in this world... {nl} Please be alive somewhere... {nl}"	The 17th of X {nl} - {nl}หมู่บ้านวันนี้เงียบสงบจนน่ากลัว{nl}มันไม่มีสัญญาณบ่งบอกถึงผู้คนที่ไปเอาสมุนไพรกับ Mr. Gordon ก่อนหน้านี้{nl}{nl}The 23rd of X {nl} - {nl} นี่อาจจะเป็นครั้งสุดท้ายที่ข้าได้เขียนไดอารี่นี้{nl} Lyliana เจ้าคือครอบครัวคนสุดท้ายที่ข้าเหลืออยู่ในโลกนี้... {nl} ได้โปรดมีชีวิตรอดอยู่ที่ไหนสักแห่ง... {nl}
QUEST_20170313_005540	"I was just about to go gather a few more materials before heading to Orsha.{nl}Oh, but..."	ข้ากำลังจะไปเก็บวัตถุดิบเพิ่มก่อนจะมุ่งหน้าไป Orsha{nl}โอ้ แต่...
QUEST_20170313_005541	{nl}What are those notes you're carrying?{nl}They look a bit... damaged.	{nl}โน้ตพวกนั้นที่เจ้าถืออยู่นั่นคืออะไรน่ะ?{nl}พวกมันดู... เสียหาย
QUEST_20170313_005542	{nl}They're going to rip and fall off if you keep carrying them like that.{nl}I do have a few leather strings that are a little too short to use on scriptures...	{nl}พวกมันจะฉีกขาดและร่วงหล่นถ้าเจ้ายังถือมันไปมาแบบนั้น{nl}ข้ามีเชือกหนังที่สั้นไปหน่อยสำหรับใช้บนพระคัมภีร์...
QUEST_20170313_005543	"Since you were so kind to find me leather string and paper for my scriptures, this time I'm repaying the favor.{nl}Here you go."	ในเมื่อเจ้าใจดีหาเชือกหนังและกระดาษสำหรับพระคัมถีร์ของข้า ครั้งนี้ให้ข้าตอบแทนบ้าง{nl}นี่ไงเอาไปสิ
QUEST_20170313_005544	{nl}This should keep your notes from ripping apart.	{nl}นี่น่าจะกันไม่ให้โน้ตแยกออกจากกันได้
QUEST_20170313_005545	"Are you taking good care of that... diary, was it?{nl}The one I binded???? you.{nl}I can't wait to see the day where all my scriptures are also completed."	เจ้าได้ดูแลมันอย่างดีหรือเปล่าเจ้า... ไดอารี่ ใช่ไหม?{nl}อันที่ข้ามัดมันให้เจ้า{nl}ข้าอดใจรอไม่ไหวถึงวันที่พระคัมถีร์ของข้าจะเสร็จสมบูรณ์
QUEST_20170313_005546	"That book, though... it says Andale Village... What is it?{nl}That's the village where I used to live..."	หนังสือนั่น... มันบอกว่า Andale Village... มันคืออะไร?{nl}นั่นเป็นหมู่บ้านที่ข้าเคยอยู่...
QUEST_20170313_005547	This is... my brother's diary...{nl}...	นี่มัน... ไดอารี่ของพี่ชายข้า...{nl}...
QUEST_20170313_005548	{nl}He was so happy that a new family moved in...	{nl}เขาดีใจมากตอนที่ครอบครัวใหม่ย้ายเข้ามา...
QUEST_20170313_005549	{nl}But then... the village... and my brother...	{nl}แต่ว่าหลังจากนั้น... หมู่บ้าน... และพี่ชายข้า...
QUEST_20170313_005550	"Please take that diary...{nl}And, just... leave me alone for a while... please. "	กรุณารับไดอารี่ไป...{nl}และแค่... ปล่อยข้าไว้คนเดียวสักพัก... ได้โปรด
QUEST_20170313_005551	{nl}You can ask any questions you want later... Just not now...	{nl}เจ้าสามารถถามคำถามที่เจ้าอยากได้ทีหลัง... แค่ไม่ใช่ตอนนี้...
QUEST_20170313_005552	... I just don't want to talk... Not right now...	... ข้าแค่ไม่อยากคุยด้วย... ไม่ใช่ตอนนี้...
QUEST_20170313_005553	"Our headman said Andale was one of seven villages founded a long time ago.{nl}The region is said to have been found by a hunter who got lost. In this region, people built a beautiful shrine along with the seven villages."	หัวหน้าของเราบอกว่า Andale เป็นหนึ่งในหมู่บ้านที่ก่อตั้งเมื่อนานมาแล้ว{nl}พื้นที่ตรงนั้นถูกเล่าว่าพบโดยนักล่าสัตว์ที่หลงทาง ในพื้นที่นี้ ผู้คนสร้างศาลเจ้าที่สวยงามและหมู่บ้านทั้งเจ็ด
QUEST_20170313_005554	{nl}The villages shared a stream of clear water that turned the moss and the trees into beautiful colors...{nl}But one elder in Andale Village was suspicious of this color-changing water.	{nl}หมู่บ้านทั้งหมดใช้แหล่งน้ำร่วมกันซึ่งสามารถเปลี่ยนสีของต้นไม้ใบหน้าให้สวยงามได้...{nl}แต่หนึ่งในผู้เฒ่าของ Andale Village รู้สึกสงสัยในน้ำซึ่งเปลี่ยนสีได้นี้
QUEST_20170313_005555	"{nl}The people of Andale did not drink from the stream and gathered their water from a well.{nl}Meanwhile, all the other villages drank the stream water for a long time."	{nl}ผู้คนของ Andale ไม่ได้ดื่มน้ำจาลำธารแต่สะสมน้ำจากบ่อน้ำเอา{nl}ในขณะที่หมู่บ้านอื่นๆกินน้ำจากลำธารเป็นเวลานาน
QUEST_20170313_005556	"{nl}The water from the stream, however, wasn't fit for drinking.{nl}One by one, people from the other villages started to fall ill."	{nl}น้ำจากลำธารนั้น ไม่เหมาะกับการดื่มกิน{nl} ผู้คนจากหมู่บ้านอื่นเริ่มล้มป่วยลง ที่ละคน
QUEST_20170313_005557	"{nl}In the end, out of the seven villages, six became impossible to live in and were abandoned.{nl}I guess these villages were all but forgotten... and Andale, too, was no longer sought by outsiders."	{nl}ในท้ายที่สุด จากหมู่บ้านทั้งเจ็ด หกหมู่บ้านไม่สามารถใช้อยู่อาศัยได้และถูกทิ้ง{nl}ข้าเข้าใจว่าหมู่บ้านเหล่านี้คงจะถูกทิ้งหมด... และ Andale ก็เช่นกัน ไม่ถูกสนใจจากคนนอกอีก
QUEST_20170313_005558	"{nl}Now... I'm guessing Andale Village is also deserted...{nl}From what I heard after coming here, this was all a curse by Demon Goddess Giltine.{nl}"	{nl}ตอนนี้... ข้าเข้าใจว่า Andale Villege เองก็ถูกทิ้งร้าง...{nl}จากที่ข้าได้ยินหลังจากมาที่นี่ นี่เป็นคำสาปโดยเทพธิดาปีศาจ Giltine{nl}
QUEST_20170313_005559	That new family that moved in...{nl}I actually never saw them.	ครอบครัวใหม่ที่ย้ายเข้ามา...{nl}ที่จริงคือข้าไม่เคยเห็นพวกเขา
QUEST_20170313_005560	"{nl}My brother was too excited about having outsiders around and did visit them once or twice.{nl}Oh, now that I think of it... Wow..."	{nl}พี่ชายของข้ารู้สึกตื่นเต้นมากในการที่มีคนนอกอยู่ใกล้ๆและไปพบพวกเขาครั้งสองครั้ง{nl}โอ้ พอข้าลองๆมาคิดดูแล้ว... ว้าว...
QUEST_20170313_005561	"{nl}Every time we made a ceremony to the goddesses, they always said they were sick and never came.{nl}Why did I not notice it then...?"	{nl}ทุกๆครั้งที่เราทำพิธีให้กับเทพธิดา พวกเขาบอกว่าพวกเขาป่วยอยู่เสมอและไม่เคยมา{nl}ทำไมข้าไม่สังเกตในเรื่องนี้...?
QUEST_20170313_005562	"{nl}The truth is, if that day I hadn't fought with my brother and left the village, the same thing would have happened to me..."	{nl}ความจริงก็คือ ถ้าข้าไม่ทะเลาะกับพี่ชายและจากหมู่บ้านมา ข้าก็คงจะลงเอยแบบเดี่ยวกับคนในหมู่บ้าน...
QUEST_20170313_005563	"My brother was a good person.{nl}He was a talented cook and, even when we short on food, he liked sharing his dishes with the neighbors."	พี่ชายของข้าเป็นคนดี{nl}เขาเป็นคนที่ทำอาหารเก่ง และถึงแม้ตอนที่เรามีอาหารน้อย เขายังชอบแบ่งอาหารของเขากับเพื่อนบ้าน
QUEST_20170313_005564	{nl}The whole reason we fought that day was because he wanted to make porridge for the neighbors with the last few potatoes we had...	{nl}สาเหตุที่เราทะเลาะกันวันนั้นเพราะว่าเขาต้องการทำข้าวต้มให้กับเพื่อนบ้านด้วยมันฝรั่งเล็กน้อยที่เรามีเหลืออยู่...
QUEST_20170313_005565	"{nl}Our neighbor, Mr. Raman, was always praising my brother.{nl}He must be gone now, too... Taken by those demons..."	{nl}เพื่อนบ้านของเรา Mr. Raman ชมพี่ชายข้าอยู่เสมอ{nl}เขาคงจะจากไปแล้ว เช่นกัน... ถูกเอาไปโดยปีศาจพวกนั้น...
QUEST_20170313_005566	Dusty Objects	วัตถุเปื้อนฝุ่น
QUEST_20170313_005567	A pile of dusty abandoned objects.{nl}Have a look?	กองของที่ถูกทิ้งที่เต็มไปด้วยฝุ่น{nl}ลองดู?
QUEST_20170313_005568	There's an old bowl with water.	มีชามเก่าๆพร้อมกับน้ำอยู่
QUEST_20170313_005569	It's only dust.	มันเป็นแค่ฝุ่น
QUEST_20170313_005570	Guess there isn't much to find other than this bowl.	เข้าใจว่ามันไม่มีอะไรให้หานอกจากชามใบนี้
QUEST_20170313_005571	I bet this is nothing.	ข้าพนันเลยว่านี่มันไม่มีอะไร
QUEST_20170313_005572	This looks like it will be dangerous to tamper with.	นี่ดูจะอันตรายถ้าไปยุ่งกับมัน
QUEST_20170313_005573	Nothing interesting to see here.	ไม่มีอะไรน่าสนใจให้ดูที่นี่
QUEST_20170313_005574	Smokey Spot	จุดที่ควันเยอะ
QUEST_20170313_005575	Should I throw away the water from before here?	ข้าควรจะเทน้ำก่อนหน้านี้ทิ้งตรงนี้ไหม?
QUEST_20170313_005576	Nothing changed.	ไม่มีอะไรเปลี่ยนแปลง
QUEST_20170313_005577	Oh...	โอ้....
QUEST_20170313_005578	{nl}Now that I think about it...	{nl}พอข้าลองมาคิดดูแล้ว...
QUEST_20170313_005579	{nl}You're back.{nl}Is there anything else you want to know?	{nl}เจ้ากลับมาแล้ว{nl}มีอะไรที่เจ้าอยากรู้อีกไหม?
QUEST_20170313_005580	"A long time ago, goddesses and demons made an agreement that they would not interfere with each other.{nl}One of the conditions of this pact was that demons were not allowed to murder humans."	เมื่อนานมาแล้ว เทพธิดาและปีศาจทำข้อตกลงกันว่าพวกเขาจะไม่ยุ่งเกี่ยวกับกันและกัน{nl}หนึ่งในเงื่อนไขของข้อตกลงนี่ก็คือจะไม่อนุญาติให้ปีศาจฆ่ามนุษย์
QUEST_20170313_005581	"{nl}Then, 600 years ago, Gesti placed a curse in the Roxona region.{nl}She did so under the pretext that it was in response to Ruklys' rebellion."	{nl}จากนั้น 600 ปีก่อน Gesti ได้ปล่อยคำสาปใส่เขต Roxona{nl}เธอทำเช่นนั้นภายใต้ข้ออ้างว่ามันคือการตอบโต้กับการกบฏของ Ruklys
QUEST_20170313_005582	{nl}Goddess Dalia stood forward to help those in Roxona.{nl}The petrified city with the forgotten name...	{nl}เทพธิดา Dalia แสดงตนออกมาเพื่อช่วยเหลือผู้ที่อยู่ใน Roxona{nl}เมืองที่กลายเป็นหินพร้อมกับชื่อที่ถูกลืม...
QUEST_20170313_005583	"{nl}Then, the demons appeared and brought up the agreement.{nl}They claimed that the victims had not been murdered, merely petrified, and attacked Goddess Dalia.{nl}That is how she became trapped in the curse of the demon goddess."	{nl}จากนั้น พวกปีศาจปรากฏตัวและกล่าวถึงข้อตกลง{nl}พวกเขาบอกว่าเหล่าผู้เคราะห์ร้ายไม่ได้ถูกฆ่าเพียงแค่กลายเป็นหิน และโจมตีเทพธิดา Dalia{nl}นั่นเป็นสาเหตุให้เธอถูกขังในคำสาปของเทพธิดาปีศาจ
QUEST_20170313_005584	"{nl}The curse imparted in Goddess Dalia clashed with her own divine force, forming something immensely more powerful.{nl}This left Dalia in the state you know Her as..."	{nl}คำสาปที่ถูกร่ายใส่เทพธิดา Dalia ตีกับพลังศักดิสิทธิ์ของเธอ ก่อให้เกิดเป็นอะไรบางอย่างที่ทรงพลังมาก{nl}นี่ทำให้ Dalia อยู่ในสถาณะที่เจ้ารู้จักเธอว่า...
QUEST_20170313_005585	{nl}That is why the entire area was burned to the ground...{nl}There was nothing that could bring the goddess back to her own conscience...	{nl}นี่เป็นสาเหตุว่าทำไมพื้นที่ทั้งหมดถึงถูกเผาจนไม่เหลืออะไร...{nl}มันไม่มีอะไรที่จะสามารถดึงสติของเทพธิดากลับมาเป็นตัวของเธอเอง...
QUEST_20170313_005586	"{nl}So the three Demon Kings imprisoned Dalia, and the Kupoles were left to watch over Her.{nl}No other goddesses dared to interfere with the petrified city after that."	{nl}ดังนั้นราชาปีศาจทั้งสามจึงกักขัง Dalia และพวก Kupoles ถูกทิ้งให้เฝ้าดูเธอ{nl}ไม่มีเทพธิดาคนไหนกล้ายุ่งกับเมืองที่กลายเป็นหินหลังจากนั้น
QUEST_20170313_005587	{nl}Some might criticize the goddesses for their lack of action when they hear about this.{nl}But I believe it was a reasonable choice to make at the time.	{nl}บางคนอาจจะตำหนิเทพธิดาถึงความนิ่งเฉยของพวกเขาเมื่อพวกเขาได้ยินเรื่องนี้{nl}แต่ข้าเชื่อว่ามันเป็นทางเลือกที่สมเหตุสมผลในตอนนั้น
QUEST_20170313_005588	"Oh no...{nl}But then, who would frame someone like that?"	โอ้ ไม่...{nl}แต่ ใครจะใส่ร้ายคนแบบนั้นกัน?
QUEST_20170313_005589	{nl}And why...?	{nl}และ ทำไม...?
QUEST_20170313_005590	"The secret could have been hidden in Ruklys' memorial.{nl}The truth about the real hero who took the blame at the time, that is..."	ความลับอาจจะซ่อนอยู่ในอนุสรณ์สถานของ Ruklys{nl}ความจริงเกี่ยวกับฮีโร่ผู้ที่ถูกใส่ร้ายในตอนนั้น นี่มัน...
QUEST_20170313_005591	Why would Premier Eminent think of doing something like that?{nl}I ought to investigate further.	ทำไม Premier Eminent คิดจะทำอะไรแบบนั้น?{nl}ข้าควรจะสืบค้นให้มากขึ้น
QUEST_20170313_005592	It won't be easy now that the contents of the memorial are gone.{nl}I wonder if there isn't a way to recover them...	มันคงจะไม่ง่ายในตอนนี้ที่การแข่งขันเพื่อเป็นที่ระลึกได้หมดไปแล้ว{nl}ข้าสงสัยว่าถ้ามันไม่มีทางที่จะช่วยพวกเขา...
QUEST_20170313_005593	Glad to see you again.{nl}What's the occasion?	ยินดีที่ได้พบเจ้าอีกครั้ง{nl}เจ้ามาพบข้าเนื่องในโอกาสอะไร?
QUEST_20170313_005594	So Ruklys was not a traitor?{nl}That means that rubbed copy was still useful...	ถ้างั้น Ruklys ไม่ใช่คนทรยศ?{nl}นั่นหมายความว่าการทำสำเนาแบบถูกยังเป็นประโยชน์อยู่...
QUEST_20170313_005595	"I can get some more charcoal and make a new copy of Lydia Schaffen's tombstone.{nl}Should be able to read it then, right?"	ข้าสามารถหาถ่านหินเพิ่ม และทำสำเนาหินหลุมฝังศพของ Lydia Schaffen{nl}น่าจะอ่านมันได้ในตอนนั้น ใช่ไหม?
QUEST_20170313_005596	"{nl}We might even get some insight into her history, don't you think?"	{nl}เราอาจจะได้รับรู้ถึงประวัติเบื้องลึกของเธอ เจ้าว่างั้นไหม?
