QUEST_LV_0200_20150317_000001	Philipas' Soldier	ทหารของPhilipas
QUEST_LV_0200_20161005_010553	Have you retrieve them?{nl}Let's see...{nl}	คุณหาเจอไหม?{nl}ลองดูอีกที...{nl}
QUEST_LV_0200_20161005_010554	"Oh thank heavens, they are in good shape.{nl}I will look for something that might be of some use for you."	โอ้ขอบคุณพระเจ้า{nl}ฉันำลังมองดูว่ามีอะไรที่สามารถช่วยคุณได้
QUEST_LV_0200_20161005_010555	"Yes, yes. Take this military bomb and antidoe with you.{nl}"	ใช่แล้ว นำระเบิดและยาแก้พิษไปด้วย
QUEST_LV_0200_20161005_010556	Ebonypawn is hiding somewhere here.{nl}Watch out for the traps set by Ebonypawn.{nl}	Evoniphon ได้ซ่อนตัวอยู่ที่ไหนสักแห่งแถวนี้{nl}สังเกตุกับดักที่ติดตั้ง Evoniphon ด้วยล่ะ
QUEST_LV_0200_20161005_010557	Our squad fell into those traps...{nl}So please be careful.	กองทัพของพวกเรารู้สึกได้ว่ามีกับดัก...{nl}ระวังตัวด้วย
QUEST_LV_0200_20161005_010558	"{nl}Get you to the armory and on your way there, search for that coward."	{nl}คุณลองไปค้นหาแถวคลังอาวุธ แล้วคุณจะพบมัน
QUEST_LV_0200_20161005_010559	We weren't taking the assault lying down. We did manage to hurt Ebonypawn.{nl}Not certain on the severity though.{nl}	พวกเราบาดเจ็บจากEvoniphon{nl}พวกเราไม่รู้ว่าจะบาดเจ็บหนักขนาดนี้
QUEST_LV_0200_20161005_010560	"The state of his wounds will keep him away from attacking the Revelator hastily.{nl}Even so, best to not let our guard down."	นำเขาออกมาจากการโจมตีนั้น{nl}มันเป็นทางที่ดีที่สุดที่ทำให้ทหารของพวกเราไม่ล้มตาย
QUEST_LV_0200_20161005_010561	Sorry for being so useless. If I weren't injured...	ถ้าฉันไม่บาดเจ็บ ฉันคงทำประโยชน์ได้มากกว่านี้
QUEST_LV_0200_20161005_010562	"These are from my men.{nl}At least, their keepsakes have been retrieved."	เขาเป็นคนของเรา{nl}ขอบคุณมากที่นำของเขากลับมา
QUEST_LV_0200_20161005_010563	"{nl}To be perfectly honest, I had my doubts about you.{nl}But after seeing what you have done for me... I have something to tell you."	{nl}มีความภักดีมากและฉันมีข้อสงสัยเกี่ยวกับคุณ{nl}แต่ฉันเห้นสิ่งที่คุณทำให้ฉันแล้ว...ฉันเลยมีเรื่องอยากจะบอกกับคุณ
QUEST_LV_0200_20161005_010564	{nl}I am Vincentas of the Royal Bodyguards.{nl}My duty is to protect the Royal family from threats ever since Medzio Diena.	{nl}ฉันคือVincentas องค์รักษ์หลวง{nl}หน้าที่ของฉันคือปกป้องราชวงศ์จากการรุกรานของ  Medzio Diena
QUEST_LV_0200_20161005_010565	{nl}I was on a mission to escort them to safety.{nl}The surviving members of the royalty is working towards rebuilding the Kingdom and the preparation is almost complete.	{nl}ฉันอยู่ในภารกิจที่ต้องปกป้องพวกเขา{nl}ให้คนในราชวงศ์อยู่รอดนั้นทำงานเพื่อฟื้นฟูราชอาณาจักรต่อไปและเตรียมการให้มันเสร็จสิ้น
QUEST_LV_0200_20161005_010566	{nl}The Chancellor was on the way to seek co-operation from Southern cities. It was then when Ebonypawn struck.{nl}Sent by those who want to eliminate the royal family.	{nl}Chancellorจะหาทางขอความร่วมมือจากทางใต้ของเมือง เพราะมีพวก Evoniphon เข้ามาปะทะ{nl}ไม่น่าว่าพวกมันต้องการมาปลิดชีพของพวกราชวงศ์ก็เป็นได้
QUEST_LV_0200_20161005_010567	"{nl}To rebuild the kingdom, Ebonypawn must be eliminated.{nl}At my current state, all I could do is ask for your help.{nl}I am so ashamed."	{nl}ในการฟื้นฟูราชจักร พวก Evoniphon ก็เข้ามาจ้องทำลาย{nl}ในส่วนพื้นที่ของฉันทั้งหมดนี้ ฉันจึงต้องการให้คุณช่วย{nl}ฉันรู้สึกละอายในเหลือเกิน
QUEST_LV_0200_20161005_010568	The battle we have had caused great harm to both sides.{nl}Ebonypawn at his most weakest is our best chance to strike.	การต่อสู้นี้มีก่อนให้เกิดความอันตรายแก่ทั้งสองฝ่าย{nl}ตอนนี้ทำให้ Evoniphon เกิดความเสียหายดังนั้นตอนนี้เป็นโอกาสดีที่พวกเขาจะเลิกสู้รบ
QUEST_LV_0200_20161005_010569	"{nl}The training field that we have not yet searched, he must be there.{nl}Punish Ebonypawn."	{nl}สนามฝึกซ้อมลองค้นหา  Evoniphon{nl}และจัดการมันซะ
QUEST_LV_0200_20161005_010570	"I want to join the fight...but I will only drag you down.{nl}However, I will patch myself up and join you right away just in case.{nl}"	ฉันต้องการร่วมสู้ด้วย...ฉันจะไม่พาคุณไปตาย{nl}อย่างไรก็ตามฉันจะดูแลตัวเองและช่วยคุณสู้
QUEST_LV_0200_20161005_010571	"At my current state, getting there would be a challenge. So, if possible, could you sweep up some of the monsters on your way to the inner training ground.{nl}I will join you as soon as possible."	มันเป็นพื้นที่ของฉัน มันถูกท้าทาย หากคุณสามารถจัดการพวกมอนสเตอร์ข้างในนี้ได้แล้วละก็{nl}ฉันจะให้คุณร่วมทัพกับฉันโดยเร็วที่สุด
QUEST_LV_0200_20161005_010572	"I am beginning to think that Goddess has not foresake the Kingdom.{nl}She has brought you here, after all."	ฉันคิดว่าเทพธิดานั้นยังไม่ละทิ้งอาณาจักรไป{nl}และเธอได้นำคุณมาที่นี่
QUEST_LV_0200_20161005_010573	"So, Ebonypawn has finally fallen.{nl}"	สุดท้าย Evoniphon ก็จบลง
QUEST_LV_0200_20161005_010574	You exceed your own reputation.{nl}	ฉันได้ยินข่าวลือเกี่ยวกับคุณว่าเป็นคนดี{nl}
QUEST_LV_0200_20161005_010575	I am not ready to fight yet but i can move.{nl}I have to inform the royalty.{nl}	ไม่ยังไม่พร้อมที่จะสู้{nl}ฉันขอแจ้งทางหลวงก่อน
QUEST_LV_0200_20161005_010576	I will tell them of your triumph.{nl}Let us meet again in the future.	ฉันจะประกาศเกี่ยวกับความสำเร็จของคุณให้{nl}แล้วเราจะพบกันใหม่
QUEST_LV_0200_20161005_010577	A new Miko is always welcome.{nl}Just following Kanuushi's orders are busy enough.	ยินดีต้อนรับ Miko คนใหม่{nl}แค่ทำตามคำสั่งของ Kanuushi ก็วุ่นวายมากพอแล้ว
QUEST_LV_0200_20161005_010578	"We have to find Divine Spirits, maintain the barrier that suppresses the Tree.{nl}If you desire to join us, you wouldn't mind helping us, right?{nl}"	พวกเรากำลังหา Divine Spirits เพื่อบำรุงสิ่งกีดขวางที่หยุดพวกต้นไม้เหล่านั้นไว้{nl}หากคุณร่วมกับเรา คุณก็จะสามารถช่วยพวกเราได้ใช่ไหม?{nl}
QUEST_LV_0200_20161005_010579	I have set some barriers thoroughout the kingdom.{nl}They suppress the Tree from getting larger.{nl}	ฉันติดตั้งสิ่งกีดขวางทั่วอาณาจักรแล้ว{nl}พวกเราต้องหยุดเจ้าพวกต้นไม้ขนาดใหญ่นั่น{nl}
QUEST_LV_0200_20161005_010580	Could you check up on those barriers for me?{nl}Completing this errand would prove whether you are up for more difficult tasks of a Miko.	คุณสามารถตรวจสอบพวกสิ่งกีดขวางนั่นให้ฉันได้ไหม?{nl}ทำมันให้สำเร็จเพื่อพิสูจน์ว่าคุณสามารถทำงานยากๆได้
QUEST_LV_0200_20161005_010581	"Since you are not a proper Miko yet, you won't be able to perceive barriers.{nl}Take this gohei with you.{nl}Wave it in front of a barrier and it will reveal itself to you.{nl}"	เนื่องจากคุณไม่ได้เป็น Miko ทำให้คุณไม่สามารถรู้เรื่องของสิ่งกีดขวางนั้นได้ถูกต้อง{nl}ฉันจะให้ Gohei ไปกับคุณ{nl}และเมื่อลองไปเขย่าดูมันจะเกิดการตอบสนอง
QUEST_LV_0200_20161005_010582	"Nevellet Quarry 1F, Royal Mausoleum Workers Lodge,    Sicarius 1F.{nl}Also, there are one each in Residence of the Fallen Legwyn Family, 2nd Demon Prison and Roxona Reconstruction Agency West Building."	Nevellet Quarry 1F  สุสานหลวงที่ทำงานของ Lodge  Sicarius 1F{nl}นอกจากนี้ยังมีที่พักของครอบครัว Legwyn คุกปิศาจชั้นที่สองและRoxona ที่สร้างขึ้นมาใหม่ทางตะวันตก
QUEST_LV_0200_20161005_010583	"I want you to know that I am not giving you this workload not because I don't want to do it myself.{nl}You understand, right?"	ฉันไม่อยากบอกมันให้มันเป็นปัญหาของคุณ{nl}คุณเข้าใจใช่ไหม?
QUEST_LV_0200_20161005_010584	"There were days where we would just sit in our rooms, sipping tea all day...{nl}Alas, those days are gone."	ในวันสบายๆที่นั่งจิบชาอยู่ในห้องของเราทุกวัน...{nl}วันเหล่านั้นกำลังจะหายไป
QUEST_LV_0200_20161005_010585	Have you check them all?{nl}Nothing unusual right?{nl}	คุณได้ตรวจสอบทั้งหมดแล้วหรือยัง?{nl}มีอะไรผิดปกติไหม?{nl}
QUEST_LV_0200_20161005_010586	"The barriers that I personally set up cannot be broken easily.{nl}Anyway, good work.{nl}"	สิ่งกีดขวางฉันดูแล้วปกติดีไม่มีอะไรเสียหาย{nl}มันใช้งานได้{nl}
QUEST_LV_0200_20161005_010587	You can be a good Miko like me.{nl}My eyes never deceive me. I can see that in your future.{nl}	คุณสามารถเป็น Miko ที่ดีได้เหมือนกับฉัน{nl}มองตาฉันแววตาฉันไม่เคยโกหกฉันมองเห็นอนาคตของคุณ{nl}
QUEST_LV_0200_20161005_010588	Then I could have some time to breathe...	ฉันยังมีอะไรเล็กๆน้อยๆที่จะทำอีก
QUEST_LV_0200_20161005_010589	Be careful with this. It turns your bodily fluid acidic.{nl}Throw it at monsters and retrieve their bodily fluids.	ระวังหน่อย มันเป็นน้ำกรด{nl}ขว้างมันไปที่มอนสเตอร์และมันจะทำให้มอนสเตอร์บาดเจ็บ
QUEST_LV_0200_20161005_010590	"It would be easier to lure one from the sky than to try finding one without using a food box.{nl}Alternatively, you could just go to Viltis Forest."	การหยิบดาวลงมามันง่ายกว่าการหากล่องอาหาร{nl}หรือคุณสามารถเข้าไปในป่า Viltis
QUEST_LV_0200_20161005_010591	"To make the scripture, sheets are important, but binding is also important.{nl}Especially, the strings. It will be no good if the scripture gets untied.{nl}"	การทำคัมภีร์ พวกกระดาษนั้นสำคัญ แต่การเย็บเล่มของมันสำคัญกว่า{nl}โดยเฉพาะเนื้อหาของมัน มันจะดีขึ้นถ้าได้รับการแก้ไข
QUEST_LV_0200_20161005_010592	There are so many soldiers here than we expected.{nl}Be careful.. Don't get spotted. Let's meet inside.	มีทหารมากมายอยู่ที่นั่น{nl}ระวังอย่าให้เป็นจุดสนใจ แล้วไปเจอกันข้างใน
QUEST_LV_0200_20161005_010593	Have you ever seen the Great Cathedral or the Mage Tower before?{nl}How about a gigantic goddess statue like the one in Fedimian.{nl}	คุณเคยเห็น  Great Cathedral หรือ the Mage Tower มาก่อนไหม?{nl}หรือเกี่ยวกับรูปปั้นเทพธิดาอันใหญ่โตที่อยู่ในFedimian{nl}
QUEST_LV_0200_20161005_010594	Is there anything else you want to ask?	คุณจะถามอะไรอีกไหม?
QUEST_LV_0200_20161005_010595	The kingdom fought hard against Medzio Diena.{nl}Two of the four heroes are from the royal family.	อาณาจักรต่อสู้อย่างหนักกับ Medzio Diena{nl}โดยมีสองในสี่ของราชวงศ์ร่วมด้วย
QUEST_LV_0200_20161005_010596	{nl}The kingdom must stand proud and tall for the world to stand straight. That makes assassins like Ebonypawn the number one target to be taken of with extreme prejudice.{nl}Godspeed.	{nl}อาณาจักรต้องได้รับการฟื้นฟูอีกครั้ง โลกจะต้องเติบโตขึ้น{nl}พวก Evoniphon จะต้องถูกฆ่าตาย{nl}ขอให้คุณโชคดี
QUEST_LV_0200_20161005_010597	"Hmm, even if it's not the Church's order, shouldn't the Great Cathedral be restored first... {nl}Wouldn't we be able to find the answer to the curse more easily then?"	อืมแม้ว่ามันจะไม่ใช่คำสั่งจากโบสถ์ให้ฟื้นฟู Great Cathedral เป็นอย่างแรก...{nl}ทำให้เรานั้นไม่สามรถหาคำสาปได้ง่ายๆแล้ว?
QUEST_LV_0200_20161005_010598	"I don't know if we will be able to find a way to release the curse if things continue like this.{nl}If I only had the power, I would have driven all demons out from the Great Cathedral."	ฉันไม่รู้ว่าหากเราจะสามารถหาทางปลดปล่อยคำสาปได้{nl}ฉันจะมีพลังในการขับไล่พวกปิศาจออกไปจาก Great Cathedral ไหม
QUEST_LV_0200_20161005_010599	"The current state of absent goddesses, we had to take matters into our own hands."	ปัจจุบันเทพธิดาได้หายตัวไป พวกเราจึงต้องดำเนินการด้วยมือของเราเอง
QUEST_LV_0200_20161005_010600	"{nl}With greater authority comes greater responsibility.{nl}Despite the increased burden on our shoulders, we had to live and fulfill the duties of an inquisitor and a cleric."	{nl}ผู้ที่มีอำนาจยิ่งใหญ่ย่อมมาพร้อมกับความรับผิดชอบที่ใหญ่ยิ่ง{nl}แม้ว่าจะมีภาระเพิ่มขึ้น พวกเราก็จะมีชีวิตอยู่และทำหน้าที่ตรวจสอบต่อไป
QUEST_LV_0200_20161005_010601	"After Medzio Diena, our authority grews and so did our responsibility.{nl}We had no manpower to train new inquistors until now."	หลังจาก Medzio Diena ความรับผิดชอบของพวกเรานั้นได้มากขึ้น{nl}ทำให้พวกเราไม่มีเวลาเพิ่มกำลังพลขึ้นมาใหม่
QUEST_LV_0200_20161005_010602	{nl}It is a shame that those so-called believers with different faith are growing in numbers and their activities growing rampant.{nl}That is why we must strengthen our base by accepting voluteers to our noble profession. Inquisitors.	{nl}เพื่อเรียกศรัทธากลับมาอีกครั้งหลังจากถูกพวกพืชบุกรุก{nl}ทำให้พวกเราต้องเสริมสร้างกองกำลังใหม่ขึ้นมากอีกครั้ง
QUEST_LV_0200_20161005_010603	"In the past, she told us that she couldn't just not do anything, even if her power was weakened.{nl}We barely managed to persuade her.{nl}"	ในอดีตคุณบอกฉันว่าคุณไม่สามารถทำอะไรได้เพราะคุณนั้นอ่อนแอ{nl}แต่ตอนนี้พวกเราจะไม่ให้คุณไปไหน
QUEST_LV_0200_20161005_010604	Your lead was a big help. {nl}I wonder if this is all the guidance of the goddess..	คุณต้องช่วยเหลือเรา{nl}พวกเราคิดว่าสิ่งนี้คือคำแนะนำของเทพธิดา
QUEST_LV_0200_20161005_010605	"The demons that are spreading the vicious curses are still roaming the Great Cathedral.{nl}As a priest under the goddesses' name, how can I just leave this be."	พวกปิศาจได้กระจายตัวขยายคำสาปรอบๆGreat Cathedral{nl}ในฐานะพระที่อยู่ภายใต้เทพธิดา ฉันมีวิธีที่จะออกไปจากที่นี่ได้
QUEST_LV_0200_20161005_010606	"We are going to reclaim the camp and try our best not to be conquered again. {nl}By doing so, we would be able to protect ourselves from monsters and intruders like you.{nl}"	พวกเราต้องไปที่ค่ายและพยายามต่อสู้อีกครั้ง{nl}เพื่อหยุดการรุกรานของพวกมัน
QUEST_LV_0200_20161005_010607	"Whether it's to restore the weakened seal or to cure the addled Revelators, {nl}We will need that symbol."	ไม่ว่ายังไงต้องฟื้นฟูผนึกที่บอบบางนั่นเพื่อรักษา  Revelators{nl}พวกเราต้องการสัญลักษณ์บางอย่างเพื่อทำการแก้ไขมัน
QUEST_LV_0200_20161005_010608	"I know that purification is important,{nl}but if we don't save those poisoned farmers right away, they may lose their lives.{nl}As a druid, how can I leave those people behind?"	ฉันรู้ว่าการชำระล้างนั้นมันสำคัญ{nl}แต่ถ้าพวกเราไม่ได้ช่วยชาวไร่ให้พ้นจากยาพิษอย่างทันท่วงทีพวกเขาจะตาย{nl}แต่มีวิธีที่ช่วยพวกเขาได้คือการทำให้พวกเขาเป็น Druid
QUEST_LV_0200_20161005_010609	I will believe my master even though he has made a wrong choice.	ถึงแม้อาจารย์ของพวกเราจะเลือกทางผิด ฉันก็จะเชื่อและทำตาม
QUEST_LV_0200_20161005_010610	The tales of valor about you as a paladin haven been well heard and inspired so many other paladins.{nl}But I want to see your prowess with my own eyes.{nl}	เป็นนิทานเกี่ยวกับพวก Paladin  มันเป็นแรงบันดาลใจให้กับ Paladin อีกหลายคน{nl}แต่ฉันยังต้องการเห็นความกล้าหาญของคุณด้วยตาของฉันเอง
QUEST_LV_0200_20161005_010611	All the heathen activities are a bit too much to handle on our own...	ทุกสิ่งที่เกิดขึ้นนั้นมันเกินกว่าที่พวกเราจะควบคุม
QUEST_LV_0200_20161005_010612	Thank you for helping us.{nl}I should visit the site to see what they were planning.	ขอบคุณที่ช่วยพวกเรา{nl}ฉันคงต้องไปแวะไปดูสิ่งที่พวกเขากำลังวางแผนกันอยู่
QUEST_LV_0200_20161005_010613	An archer does not just shoot from far behind.{nl}A hackapell charges towards the battleground with trusty comrades. Straight in.{nl}	หากคุณคิดว่านักธนูได้แต่ยิงไกลจากด้านหลังเท่านั้นคุณคิดผิด{nl}เพราะพวกเขาสามารถบุกขึ้นแนวหน้ากับสหายรบได้ด้วย
QUEST_LV_0200_20161005_010614	"And our combat style is not tied to a bow and arrows.{nl}We can wield a pistol, a dagger, a sword, a shield and other various weapons to bring the most efficient outcome in combat."	การต่อสู้ของเรานั้นไม่มีเพียงแต่ธนูและลูกธนูเท่านั้น{nl}พวกเรายังสามารถใช้ปืน มีด ดาบ โล่และอาวุธอื่นๆในการต่อสู้ได้ด้วย
QUEST_LV_0200_20161005_010615	Many other archers lack flexible mind.{nl}There are some limitations when you only train yourself with one type of weapon.{nl}	นักธนูหลายคนยังขาดความหยืดหยุ่นอยู่มาก{nl}เพราะอาวุธต่างๆคุณต้องฝึกด้วยตัวเองทำให้เกิดข้อจำกัดบางอย่าง
QUEST_LV_0200_20161005_010616	Our bowsmanship is more advanced form.{nl}The combat style that can adapt to different combat situations.{nl}	Bowsmanship เป็นรูปแบบการต่อสู้ที่สูงขึ้น{nl}สไตล์การต่อสู้นั้นจะสามารถปรับให้เข้ากับสถานการณ์ได้ดี{nl}
QUEST_LV_0200_20161005_010617	That is the bowsmanship of a Mergen.	นั้นคือ Bowsmanship ของ Mergen
QUEST_LV_0200_20161005_010618	A shield is not a cowardly tool.{nl}The real cowards are those who only use their shields to hide behind it.{nl}	โล่ไม่ใช่เครื่องมือสำหรับคนขลาด{nl}แต่แท้จริงแล้วผู้ที่ใช้จะซ่อนความขลาดไว้หลังมัน
QUEST_LV_0200_20161005_010619	We equip light and get as close to your enemy as possible.{nl}Strength is the most effective way to strike down upon your foes.{nl}	อาวุธของพวกเรามีน้ำหนักเบาและสามารถต่อสู้ระยะประชิดได้{nl}ความแข็งแกร่งของมันสามารถคว่ำศัตรูลงได้
QUEST_LV_0200_20161005_010620	How can you claim yourself to be a gladiator if you are afraid of combat?	คุณมีวิธีไหนที่จะป้องกันจากความกลัว
QUEST_LV_0200_20161005_010621	Our ways of spears exist for the kingdom.{nl}Tender one's spear and fend off the enemies of the kingdom.	เส้นทางของผู้ใช้หอกอาณาจักร{nl}เป็นคนที่จะช่วยปัดป้องศัตรูออกจากอาณาจักร
QUEST_LV_0200_20161005_010622	Charging towards the battlefield faster than anyone else. Crushing our enemies and protecting our kins.{nl}That is the path of a lancer.	เข้าไปในสนามรบเพื่อเอาชนะศัตรูได้ก่อน{nl}นั่นคือเส้นทางของ Lancer
QUEST_LV_0200_20161005_010623	Vincentas' Squan In Peril(1)	กองทัพของ Vincentas ใน Peril(2)
QUEST_LV_0200_20161005_010624	"As a Revelator, I cannot simply walk away."	"ในฐานนะ Revelator, ฉันไม่สามารถผ่านเข้าไปได้"
QUEST_LV_0200_20161005_010625	Goodbye.	ลาก่อน
QUEST_LV_0200_20161005_010626	Vincentas' Squan In Peril(2)	กองทัพของ Vincentas ใน Peril(2)
QUEST_LV_0200_20161005_010627	Don't worry.	ไม่ต้องกังวล
QUEST_LV_0200_20161005_010628	Assassin Ebonypawn(1)	มือสังหาร Evoniphon(1)
QUEST_LV_0200_20161005_010629	Ebonypawn set up traps in the armory.{nl}Find Ebonypawn at Supplies Camp.	Evoniphon ได้ติดตั้งกับดักที่คลังแสง{nl}ค้นหา  Evoniphon ที่คลังทรัพยากร
QUEST_LV_0200_20161005_010630	Obtained a piece of obstacle.	ได้รับชิ้นส่วนจากอุปสรรค
QUEST_LV_0200_20161005_010631	Assassin Ebonypawn(2)	มือสังหาร Evoniphon(2)
QUEST_LV_0200_20161005_010632	"At Supplies Camp, there are traps set by Ebonypawn.{nl}Throw a piece of obstacle to deactivate traps."	ที่คลังทรัพยาการนั้นเต็มไปด้วยกับดัก Evoniphon {nl}จัดการกับดักเหล่านั้นซธ
QUEST_LV_0200_20161005_010633	Ebonypawn's traps have been destroyed.{nl}Now find Ebonypawn in food storage.	กับดักของ Evoniphon ได้ถูกทำลายแล้ว{nl}จงไปหา Evoniphon ในคลังอาหาร
QUEST_LV_0200_20161005_010634	Assassin Ebonypawn(3)	มือสังหาร Evoniphon(3)
QUEST_LV_0200_20161005_010635	Assassin Ebonypawn(4)	มือสังหาร Evoniphon(4)
QUEST_LV_0200_20161005_010636	"On the road to closed town, you can see the keepsakes of the fallen comrades of Vincentas.{nl}Collect them and deliver them to him."	บนถนนของเมืองที่ถูกปิด คุณจะเห็นของที่ระลึกของเหล่าสลายของVincentasตกอยู่{nl}รวบรวมและส่งมันไปให้เขา
QUEST_LV_0200_20161005_010637	Assassin Ebonypawn(5)	มือสังหาร Evoniphon(5)
QUEST_LV_0200_20161005_010638	Go to the Barrack and find Ebonypawn.	ไปที่ค่ายทหารและหา Evoniphon
QUEST_LV_0200_20161005_010639	Assassin Ebonypawn(6)	มือสังหาร Evoniphon(6)
QUEST_LV_0200_20161005_010640	Find the traces of Assassin Ebonypawn in the repair shop.	หาเบาะแสของมือสังหาร Evoniphon ในร้านซ่อมแซมอาวุธ
QUEST_LV_0200_20161005_010641	What is the story behind the royal family?	เรื่องราวที่อยู่เบื้องหลังราชวงศ์
QUEST_LV_0200_20161005_010642	Assassin Ebonypawn(7)	มือสังหาร Evoniphon(7)
QUEST_LV_0200_20161005_010643	The assassin shall fall.	มือสังหารที่ล้มลง
QUEST_LV_0200_20161005_010644	I need some time to prepare myself.	ฉันต้องการเวลาในการเตรียมตัว
QUEST_LV_0200_20161005_010645	Now get to the inner training ground and defeat Ebonypawn.	เข้าไปสนามฝึกซ้อมและกำจัด Evoniphon
QUEST_LV_0200_20161005_010646	The End of Ebonypawn	จุดจบของ Evoniphon
QUEST_LV_0200_20161005_010647	The Sign of the Assassin	สัญลักษณ์ของมือสังหาร
QUEST_LV_0200_20161005_010648	Great Miko Barrier[Miko Advancement]	การขวางกั้นของ Miko  [การเลื่อนขั้น Miko]
QUEST_LV_0200_20161005_010649	I will check up on those barriers.	ฉันจะตรวจสอบอุปสรรคนั้นก่อน
QUEST_LV_0200_20161005_010650	The task is too daunting.	เป็นงานที่น่ากลัวเกินไป
QUEST_LV_0200_20161005_010651	Vincetas' Squad In Peril	กองทัพของ Vincentas ในPeril
QUEST_LV_0200_20161005_010652	Talk to Vincentas	คุยกับ Vincentas
QUEST_LV_0200_20161005_010653	You see an injured royal soldier. Ask him what happened.	คุณเห็นทหารที่บาดเจ็บนั่นไหมลองไปถามและช่วยเหลือพวกเขา
QUEST_LV_0200_20161005_010654	Retrieve Vincetas' Squad Keepsakes	เอาของที่ระลึกของกองทหารของ Vincentas กลับคืนมา
QUEST_LV_0200_20161005_010655	Vincentas' men have been fallen at the hands of Assassin Ebonypawn. Retrieve the lost items of the fallen soldiers that were left behind while retreating.	คนของVincentasได้ลดลงเนื่องจากถูก Evoniphon จัดการ จงนำของที่ตกจากเหล่าทหารนั้นกลับมา
QUEST_LV_0200_20161005_010656	Retrieve all the lost items. Report back to Vincentas.	เอาไอเทมที่หายไปกลับมาแล้วรายงานกับ Vincentas
QUEST_LV_0200_20161005_010657	Search for Ebonypawn in the Armory	ค้นหา Evoniphon ในคลังแสง
QUEST_LV_0200_20161005_010658	"You are fully prepared. Now, seek Ebonypawn."	คุณพร้อมแล้วใช่ไหม จงไปหา Evoniphon เดี๋ยวนี้
QUEST_LV_0200_20161005_010659	Destroy Ebonypawn's Traps	ทำลายกับดักของ  Evoniphon
QUEST_LV_0200_20161005_010660	There are traps set up by Ebonypawn. Destroy them.	กับดักของ Evoniphon ทำลายมันซะ
QUEST_LV_0200_20161005_010661	Destroy Ebonypawn's Traps	ทำลายกับดักของ  Evoniphon
QUEST_LV_0200_20161005_010662	Search the Supplies Camp for Ebonypawn	ค้นหา Evoniphon ที่ค่ายทรัพยากร
QUEST_LV_0200_20161005_010663	Search Ebonypawn in the Supplies Camp	ค้นหา Evoniphon ที่ค่ายทรัพยากร
QUEST_LV_0200_20161005_010664	Remove Obstacle	ทำลายอุปสรรค
QUEST_LV_0200_20161005_010665	The broken furniture is blocking your way to the supplies camp. Use the military bombs to remove the obstacle.	เครื่องใช้ที่ปิดกั้นทางไปค่ายทรัพยากร ใช้ระเบิดในการเปิดทาง
QUEST_LV_0200_20161005_010666	Remove the traps by throwing a piece of obstacle.	เอากับดักที่เป็นอุปสรรคออกไป
QUEST_LV_0200_20161005_010667	The supplies camp is infested with the traps set by Ebonypawn. Throw pieces of obstacle at it to disable them.	ค่ายทรัพยากรนั้นเต็มไปด้วยกับดักของ Evoniphon กำจัดสิ่งเหล่านั้นซะ
QUEST_LV_0200_20161005_010668	Search for Ebonypawn in the Food Storage	ค้นหา Evoniphon ที่คลังเก็บอาหาร
QUEST_LV_0200_20161005_010669	Find Ebonypawn in the Food Storage.	ค้นหา Evoniphon ที่คลังเก็บอาหาร
QUEST_LV_0200_20161005_010670	Defeat all the monsters and destroy the obstacle.	กำจัดมอนสเตอร์ทุกตัวและทำลายอุปสรรคทั้งหมด
QUEST_LV_0200_20161005_010671	Retrieve the keepsakes of Vincentas' Squad	เอาของที่ระลึกของกองทหารของ Vincentas กลับคืนมา
QUEST_LV_0200_20161005_010672	The keepsakes of Vincentas' Squad soldiers who have fallen at the hands of Ebonypawn	ของที่ระลึกของกองทหารของ Vincentas ที่ตกอยู่ในมือของ Evoniphon
QUEST_LV_0200_20161005_010673	Find Ebonypawn in the Barrack	หา Evoniphon  ในค่ายทหาร
QUEST_LV_0200_20161005_010674	Find Ebonypawn in the Barrack.	หา Evoniphon  ในค่ายทหาร
QUEST_LV_0200_20161005_010675	Find the traces of Ebonypawn in the repair shop	หาเบาะแสของ Evoniphon ในร้านซ่อมแซมอาวุธ
QUEST_LV_0200_20161005_010676	Ebonypawn is running out of places to hide. Find the traces of him in the repair shop.	Evoniphon ได้เข้าไปซ่อนตัวอยู่ในที่นั้น หาเบาะแสของเขาในร้านซ่อมแซมอาวุธ
QUEST_LV_0200_20161005_010677	You've found some traces of Assassin Ebonypawn. Report back to Vincentas.	คุณพบเบาะแสของ Assassin Evoniphon กลับไปรายงานกับ Vincentas
QUEST_LV_0200_20161005_010678	Tell Vincentas about the traces you've found in the repair shop.	บอก Vincentas เกี่ยวกับเบาะแสที่คุณพบในร้านซ่อมแซมอาวุธ
QUEST_LV_0200_20161005_010679	Defeat the monsters on the way to the inner trainning ground.	กำจัดมอนสเตอร์ในเส้นทางของสนามฝึกซ้อม
QUEST_LV_0200_20161005_010680	Vincentas cannot get into combat due to his wounds. Defeat the monsters on the way to the inner training ground.	Vincentas ไม่สามารถต่อสู้ได้เนื่องจากอาการบาดเจ็บจากการต่อสู้มอนสเตอร์จากสนามฝึกซ้อม
QUEST_LV_0200_20161005_010681	Defeat Assassin Ebonypawn	กำจัดมือสังหาร Evoniphon
QUEST_LV_0200_20161005_010682	"Now, it is time to face Ebonypawn. According to Vincentas, the inner training ground is the only place where he could be hiding. Go to the inner training ground."	เป็นเวลาที่ต้องเผชิญหน้ากับ Evoniphon ที่อยู่ด้านในสนามฝึกซ้อม จงเข้าไปด้านใน
QUEST_LV_0200_20161005_010683	Report to Vincentas	รายงานกับVincentas
